time,day-of-week,weekday,hour,people,occupancy-note
2022-06-16 0:01:00,Thursday,weekday,non-working,0,
2022-06-16 0:02:00,Thursday,weekday,non-working,0,
2022-06-16 0:03:00,Thursday,weekday,non-working,0,
2022-06-16 0:04:00,Thursday,weekday,non-working,0,
2022-06-16 0:05:00,Thursday,weekday,non-working,0,
2022-06-16 0:06:00,Thursday,weekday,non-working,0,
2022-06-16 0:07:00,Thursday,weekday,non-working,0,
2022-06-16 0:08:00,Thursday,weekday,non-working,0,
2022-06-16 0:09:00,Thursday,weekday,non-working,0,
2022-06-16 0:10:00,Thursday,weekday,non-working,0,
2022-06-16 0:11:00,Thursday,weekday,non-working,0,
2022-06-16 0:12:00,Thursday,weekday,non-working,0,
2022-06-16 0:13:00,Thursday,weekday,non-working,0,
2022-06-16 0:14:00,Thursday,weekday,non-working,0,
2022-06-16 0:15:00,Thursday,weekday,non-working,0,
2022-06-16 0:16:00,Thursday,weekday,non-working,0,
2022-06-16 0:17:00,Thursday,weekday,non-working,0,
2022-06-16 0:18:00,Thursday,weekday,non-working,0,
2022-06-16 0:19:00,Thursday,weekday,non-working,0,
2022-06-16 0:20:00,Thursday,weekday,non-working,0,
2022-06-16 0:21:00,Thursday,weekday,non-working,0,
2022-06-16 0:22:00,Thursday,weekday,non-working,0,
2022-06-16 0:23:00,Thursday,weekday,non-working,0,
2022-06-16 0:24:00,Thursday,weekday,non-working,0,
2022-06-16 0:25:00,Thursday,weekday,non-working,0,
2022-06-16 0:26:00,Thursday,weekday,non-working,0,
2022-06-16 0:27:00,Thursday,weekday,non-working,0,
2022-06-16 0:28:00,Thursday,weekday,non-working,0,
2022-06-16 0:29:00,Thursday,weekday,non-working,0,
2022-06-16 0:30:00,Thursday,weekday,non-working,0,
2022-06-16 0:31:00,Thursday,weekday,non-working,0,
2022-06-16 0:32:00,Thursday,weekday,non-working,0,
2022-06-16 0:33:00,Thursday,weekday,non-working,0,
2022-06-16 0:34:00,Thursday,weekday,non-working,0,
2022-06-16 0:35:00,Thursday,weekday,non-working,0,
2022-06-16 0:36:00,Thursday,weekday,non-working,0,
2022-06-16 0:37:00,Thursday,weekday,non-working,0,
2022-06-16 0:38:00,Thursday,weekday,non-working,0,
2022-06-16 0:39:00,Thursday,weekday,non-working,0,
2022-06-16 0:40:00,Thursday,weekday,non-working,0,
2022-06-16 0:41:00,Thursday,weekday,non-working,0,
2022-06-16 0:42:00,Thursday,weekday,non-working,0,
2022-06-16 0:43:00,Thursday,weekday,non-working,0,
2022-06-16 0:44:00,Thursday,weekday,non-working,0,
2022-06-16 0:45:00,Thursday,weekday,non-working,0,
2022-06-16 0:46:00,Thursday,weekday,non-working,0,
2022-06-16 0:47:00,Thursday,weekday,non-working,0,
2022-06-16 0:48:00,Thursday,weekday,non-working,0,
2022-06-16 0:49:00,Thursday,weekday,non-working,0,
2022-06-16 0:50:00,Thursday,weekday,non-working,0,
2022-06-16 0:51:00,Thursday,weekday,non-working,0,
2022-06-16 0:52:00,Thursday,weekday,non-working,0,
2022-06-16 0:53:00,Thursday,weekday,non-working,0,
2022-06-16 0:54:00,Thursday,weekday,non-working,0,
2022-06-16 0:55:00,Thursday,weekday,non-working,0,
2022-06-16 0:56:00,Thursday,weekday,non-working,0,
2022-06-16 0:57:00,Thursday,weekday,non-working,0,
2022-06-16 0:58:00,Thursday,weekday,non-working,0,
2022-06-16 0:59:00,Thursday,weekday,non-working,0,
2022-06-16 1:00:00,Thursday,weekday,non-working,0,
2022-06-16 1:01:00,Thursday,weekday,non-working,0,
2022-06-16 1:02:00,Thursday,weekday,non-working,0,
2022-06-16 1:03:00,Thursday,weekday,non-working,0,
2022-06-16 1:04:00,Thursday,weekday,non-working,0,
2022-06-16 1:05:00,Thursday,weekday,non-working,0,
2022-06-16 1:06:00,Thursday,weekday,non-working,0,
2022-06-16 1:07:00,Thursday,weekday,non-working,0,
2022-06-16 1:08:00,Thursday,weekday,non-working,0,
2022-06-16 1:09:00,Thursday,weekday,non-working,0,
2022-06-16 1:10:00,Thursday,weekday,non-working,0,
2022-06-16 1:11:00,Thursday,weekday,non-working,0,
2022-06-16 1:12:00,Thursday,weekday,non-working,0,
2022-06-16 1:13:00,Thursday,weekday,non-working,0,
2022-06-16 1:14:00,Thursday,weekday,non-working,0,
2022-06-16 1:15:00,Thursday,weekday,non-working,0,
2022-06-16 1:16:00,Thursday,weekday,non-working,0,
2022-06-16 1:17:00,Thursday,weekday,non-working,0,
2022-06-16 1:18:00,Thursday,weekday,non-working,0,
2022-06-16 1:19:00,Thursday,weekday,non-working,0,
2022-06-16 1:20:00,Thursday,weekday,non-working,0,
2022-06-16 1:21:00,Thursday,weekday,non-working,0,
2022-06-16 1:22:00,Thursday,weekday,non-working,0,
2022-06-16 1:23:00,Thursday,weekday,non-working,0,
2022-06-16 1:24:00,Thursday,weekday,non-working,0,
2022-06-16 1:25:00,Thursday,weekday,non-working,0,
2022-06-16 1:26:00,Thursday,weekday,non-working,0,
2022-06-16 1:27:00,Thursday,weekday,non-working,0,
2022-06-16 1:28:00,Thursday,weekday,non-working,0,
2022-06-16 1:29:00,Thursday,weekday,non-working,0,
2022-06-16 1:30:00,Thursday,weekday,non-working,0,
2022-06-16 1:31:00,Thursday,weekday,non-working,0,
2022-06-16 1:32:00,Thursday,weekday,non-working,0,
2022-06-16 1:33:00,Thursday,weekday,non-working,0,
2022-06-16 1:34:00,Thursday,weekday,non-working,0,
2022-06-16 1:35:00,Thursday,weekday,non-working,0,
2022-06-16 1:36:00,Thursday,weekday,non-working,0,
2022-06-16 1:37:00,Thursday,weekday,non-working,0,
2022-06-16 1:38:00,Thursday,weekday,non-working,0,
2022-06-16 1:39:00,Thursday,weekday,non-working,0,
2022-06-16 1:40:00,Thursday,weekday,non-working,0,
2022-06-16 1:41:00,Thursday,weekday,non-working,0,
2022-06-16 1:42:00,Thursday,weekday,non-working,0,
2022-06-16 1:43:00,Thursday,weekday,non-working,0,
2022-06-16 1:44:00,Thursday,weekday,non-working,0,
2022-06-16 1:45:00,Thursday,weekday,non-working,0,
2022-06-16 1:46:00,Thursday,weekday,non-working,0,
2022-06-16 1:47:00,Thursday,weekday,non-working,0,
2022-06-16 1:48:00,Thursday,weekday,non-working,0,
2022-06-16 1:49:00,Thursday,weekday,non-working,0,
2022-06-16 1:50:00,Thursday,weekday,non-working,0,
2022-06-16 1:51:00,Thursday,weekday,non-working,0,
2022-06-16 1:52:00,Thursday,weekday,non-working,0,
2022-06-16 1:53:00,Thursday,weekday,non-working,0,
2022-06-16 1:54:00,Thursday,weekday,non-working,0,
2022-06-16 1:55:00,Thursday,weekday,non-working,0,
2022-06-16 1:56:00,Thursday,weekday,non-working,0,
2022-06-16 1:57:00,Thursday,weekday,non-working,0,
2022-06-16 1:58:00,Thursday,weekday,non-working,0,
2022-06-16 1:59:00,Thursday,weekday,non-working,0,
2022-06-16 2:00:00,Thursday,weekday,non-working,0,
2022-06-16 2:01:00,Thursday,weekday,non-working,0,
2022-06-16 2:02:00,Thursday,weekday,non-working,0,
2022-06-16 2:03:00,Thursday,weekday,non-working,0,
2022-06-16 2:04:00,Thursday,weekday,non-working,0,
2022-06-16 2:05:00,Thursday,weekday,non-working,0,
2022-06-16 2:06:00,Thursday,weekday,non-working,0,
2022-06-16 2:07:00,Thursday,weekday,non-working,0,
2022-06-16 2:08:00,Thursday,weekday,non-working,0,
2022-06-16 2:09:00,Thursday,weekday,non-working,0,
2022-06-16 2:10:00,Thursday,weekday,non-working,0,
2022-06-16 2:11:00,Thursday,weekday,non-working,0,
2022-06-16 2:12:00,Thursday,weekday,non-working,0,
2022-06-16 2:13:00,Thursday,weekday,non-working,0,
2022-06-16 2:14:00,Thursday,weekday,non-working,0,
2022-06-16 2:15:00,Thursday,weekday,non-working,0,
2022-06-16 2:16:00,Thursday,weekday,non-working,0,
2022-06-16 2:17:00,Thursday,weekday,non-working,0,
2022-06-16 2:18:00,Thursday,weekday,non-working,0,
2022-06-16 2:19:00,Thursday,weekday,non-working,0,
2022-06-16 2:20:00,Thursday,weekday,non-working,0,
2022-06-16 2:21:00,Thursday,weekday,non-working,0,
2022-06-16 2:22:00,Thursday,weekday,non-working,0,
2022-06-16 2:23:00,Thursday,weekday,non-working,0,
2022-06-16 2:24:00,Thursday,weekday,non-working,0,
2022-06-16 2:25:00,Thursday,weekday,non-working,0,
2022-06-16 2:26:00,Thursday,weekday,non-working,0,
2022-06-16 2:27:00,Thursday,weekday,non-working,0,
2022-06-16 2:28:00,Thursday,weekday,non-working,0,
2022-06-16 2:29:00,Thursday,weekday,non-working,0,
2022-06-16 2:30:00,Thursday,weekday,non-working,0,
2022-06-16 2:31:00,Thursday,weekday,non-working,0,
2022-06-16 2:32:00,Thursday,weekday,non-working,0,
2022-06-16 2:33:00,Thursday,weekday,non-working,0,
2022-06-16 2:34:00,Thursday,weekday,non-working,0,
2022-06-16 2:35:00,Thursday,weekday,non-working,0,
2022-06-16 2:36:00,Thursday,weekday,non-working,0,
2022-06-16 2:37:00,Thursday,weekday,non-working,0,
2022-06-16 2:38:00,Thursday,weekday,non-working,0,
2022-06-16 2:39:00,Thursday,weekday,non-working,0,
2022-06-16 2:40:00,Thursday,weekday,non-working,0,
2022-06-16 2:41:00,Thursday,weekday,non-working,0,
2022-06-16 2:42:00,Thursday,weekday,non-working,0,
2022-06-16 2:43:00,Thursday,weekday,non-working,0,
2022-06-16 2:44:00,Thursday,weekday,non-working,0,
2022-06-16 2:45:00,Thursday,weekday,non-working,0,
2022-06-16 2:46:00,Thursday,weekday,non-working,0,
2022-06-16 2:47:00,Thursday,weekday,non-working,0,
2022-06-16 2:48:00,Thursday,weekday,non-working,0,
2022-06-16 2:49:00,Thursday,weekday,non-working,0,
2022-06-16 2:50:00,Thursday,weekday,non-working,0,
2022-06-16 2:51:00,Thursday,weekday,non-working,0,
2022-06-16 2:52:00,Thursday,weekday,non-working,0,
2022-06-16 2:53:00,Thursday,weekday,non-working,0,
2022-06-16 2:54:00,Thursday,weekday,non-working,0,
2022-06-16 2:55:00,Thursday,weekday,non-working,0,
2022-06-16 2:56:00,Thursday,weekday,non-working,0,
2022-06-16 2:57:00,Thursday,weekday,non-working,0,
2022-06-16 2:58:00,Thursday,weekday,non-working,0,
2022-06-16 2:59:00,Thursday,weekday,non-working,0,
2022-06-16 3:00:00,Thursday,weekday,non-working,0,
2022-06-16 3:01:00,Thursday,weekday,non-working,0,
2022-06-16 3:02:00,Thursday,weekday,non-working,0,
2022-06-16 3:03:00,Thursday,weekday,non-working,0,
2022-06-16 3:04:00,Thursday,weekday,non-working,0,
2022-06-16 3:05:00,Thursday,weekday,non-working,0,
2022-06-16 3:06:00,Thursday,weekday,non-working,0,
2022-06-16 3:07:00,Thursday,weekday,non-working,0,
2022-06-16 3:08:00,Thursday,weekday,non-working,0,
2022-06-16 3:09:00,Thursday,weekday,non-working,0,
2022-06-16 3:10:00,Thursday,weekday,non-working,0,
2022-06-16 3:11:00,Thursday,weekday,non-working,0,
2022-06-16 3:12:00,Thursday,weekday,non-working,0,
2022-06-16 3:13:00,Thursday,weekday,non-working,0,
2022-06-16 3:14:00,Thursday,weekday,non-working,0,
2022-06-16 3:15:00,Thursday,weekday,non-working,0,
2022-06-16 3:16:00,Thursday,weekday,non-working,0,
2022-06-16 3:17:00,Thursday,weekday,non-working,0,
2022-06-16 3:18:00,Thursday,weekday,non-working,0,
2022-06-16 3:19:00,Thursday,weekday,non-working,0,
2022-06-16 3:20:00,Thursday,weekday,non-working,0,
2022-06-16 3:21:00,Thursday,weekday,non-working,0,
2022-06-16 3:22:00,Thursday,weekday,non-working,0,
2022-06-16 3:23:00,Thursday,weekday,non-working,0,
2022-06-16 3:24:00,Thursday,weekday,non-working,0,
2022-06-16 3:25:00,Thursday,weekday,non-working,0,
2022-06-16 3:26:00,Thursday,weekday,non-working,0,
2022-06-16 3:27:00,Thursday,weekday,non-working,0,
2022-06-16 3:28:00,Thursday,weekday,non-working,0,
2022-06-16 3:29:00,Thursday,weekday,non-working,0,
2022-06-16 3:30:00,Thursday,weekday,non-working,0,
2022-06-16 3:31:00,Thursday,weekday,non-working,0,
2022-06-16 3:32:00,Thursday,weekday,non-working,0,
2022-06-16 3:33:00,Thursday,weekday,non-working,0,
2022-06-16 3:34:00,Thursday,weekday,non-working,0,
2022-06-16 3:35:00,Thursday,weekday,non-working,0,
2022-06-16 3:36:00,Thursday,weekday,non-working,0,
2022-06-16 3:37:00,Thursday,weekday,non-working,0,
2022-06-16 3:38:00,Thursday,weekday,non-working,0,
2022-06-16 3:39:00,Thursday,weekday,non-working,0,
2022-06-16 3:40:00,Thursday,weekday,non-working,0,
2022-06-16 3:41:00,Thursday,weekday,non-working,0,
2022-06-16 3:42:00,Thursday,weekday,non-working,0,
2022-06-16 3:43:00,Thursday,weekday,non-working,0,
2022-06-16 3:44:00,Thursday,weekday,non-working,0,
2022-06-16 3:45:00,Thursday,weekday,non-working,0,
2022-06-16 3:46:00,Thursday,weekday,non-working,0,
2022-06-16 3:47:00,Thursday,weekday,non-working,0,
2022-06-16 3:48:00,Thursday,weekday,non-working,0,
2022-06-16 3:49:00,Thursday,weekday,non-working,0,
2022-06-16 3:50:00,Thursday,weekday,non-working,0,
2022-06-16 3:51:00,Thursday,weekday,non-working,0,
2022-06-16 3:52:00,Thursday,weekday,non-working,0,
2022-06-16 3:53:00,Thursday,weekday,non-working,0,
2022-06-16 3:54:00,Thursday,weekday,non-working,0,
2022-06-16 3:55:00,Thursday,weekday,non-working,0,
2022-06-16 3:56:00,Thursday,weekday,non-working,0,
2022-06-16 3:57:00,Thursday,weekday,non-working,0,
2022-06-16 3:58:00,Thursday,weekday,non-working,0,
2022-06-16 3:59:00,Thursday,weekday,non-working,0,
2022-06-16 4:00:00,Thursday,weekday,non-working,0,
2022-06-16 4:01:00,Thursday,weekday,non-working,0,
2022-06-16 4:02:00,Thursday,weekday,non-working,0,
2022-06-16 4:03:00,Thursday,weekday,non-working,0,
2022-06-16 4:04:00,Thursday,weekday,non-working,0,
2022-06-16 4:05:00,Thursday,weekday,non-working,0,
2022-06-16 4:06:00,Thursday,weekday,non-working,0,
2022-06-16 4:07:00,Thursday,weekday,non-working,0,
2022-06-16 4:08:00,Thursday,weekday,non-working,0,
2022-06-16 4:09:00,Thursday,weekday,non-working,0,
2022-06-16 4:10:00,Thursday,weekday,non-working,0,
2022-06-16 4:11:00,Thursday,weekday,non-working,0,
2022-06-16 4:12:00,Thursday,weekday,non-working,0,
2022-06-16 4:13:00,Thursday,weekday,non-working,0,
2022-06-16 4:14:00,Thursday,weekday,non-working,0,
2022-06-16 4:15:00,Thursday,weekday,non-working,0,
2022-06-16 4:16:00,Thursday,weekday,non-working,0,
