station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
EHBK,2022-06-15 23:55,64.40,50.00,59.50,50.00,9.00,0.00,30.06,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.40,EHBK 152355Z AUTO 05009KT 9999 NSC 18/10 Q1018,M
EHBK,2022-06-16 00:25,62.60,51.80,67.75,40.00,8.00,0.00,30.06,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,62.60,EHBK 160025Z AUTO 04008KT 9999 NSC 17/11 Q1018,M
EHBK,2022-06-16 00:55,60.80,51.80,72.20,50.00,7.00,0.00,30.06,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,EHBK 160055Z AUTO 05007KT 9999 NSC 16/11 Q1018,M
EHBK,2022-06-16 01:25,60.80,51.80,72.20,40.00,7.00,0.00,30.06,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,EHBK 160125Z AUTO 04007KT 9999 NSC 16/11 Q1018,M
EHBK,2022-06-16 01:55,60.80,51.80,72.20,40.00,6.00,0.00,30.06,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,EHBK 160155Z AUTO 04006KT 9999 NSC 16/11 Q1018,M
EHBK,2022-06-16 02:25,57.20,50.00,76.82,30.00,6.00,0.00,30.06,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,EHBK 160225Z AUTO 03006KT 9999 NSC 14/10 Q1018,M
EHBK,2022-06-16 02:55,57.20,50.00,76.82,20.00,7.00,0.00,30.09,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,EHBK 160255Z AUTO 02007KT 9999 NSC 14/10 Q1019 NOSIG,M
EHBK,2022-06-16 03:25,57.20,50.00,76.82,30.00,8.00,0.00,30.09,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,EHBK 160325Z AUTO 03008KT 9999 NCD 14/10 Q1019 NOSIG,M
EHBK,2022-06-16 03:55,57.20,50.00,76.82,20.00,8.00,0.00,30.09,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,EHBK 160355Z AUTO 02008KT 9999 NCD 14/10 Q1019 NOSIG,M
EHBK,2022-06-16 04:25,59.00,48.20,67.33,30.00,7.00,0.00,30.09,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,EHBK 160425Z AUTO 03007KT 9999 NCD 15/09 Q1019 NOSIG,M
