station,valid,tmpc
EHBK,2022-06-15 23:55,18.00
EHBK,2022-06-16 00:25,17.00
EHBK,2022-06-16 00:55,16.00
EHBK,2022-06-16 01:25,16.00
EHBK,2022-06-16 01:55,16.00
EHBK,2022-06-16 02:25,14.00
EHBK,2022-06-16 02:55,14.00
EHBK,2022-06-16 03:25,14.00
EHBK,2022-06-16 03:55,14.00
EHBK,2022-06-16 04:25,15.00
EHBK,2022-06-16 04:55,15.00
EHBK,2022-06-16 05:25,16.00
EHBK,2022-06-16 05:55,16.00
EHBK,2022-06-16 06:25,17.00
EHBK,2022-06-16 06:55,18.00
EHBK,2022-06-16 07:25,19.00
EHBK,2022-06-16 07:55,19.00
EHBK,2022-06-16 08:25,19.00
EHBK,2022-06-16 08:55,20.00
EHBK,2022-06-16 09:25,21.00
EHBK,2022-06-16 09:55,21.00
EHBK,2022-06-16 10:25,22.00
EHBK,2022-06-16 10:55,22.00
EHBK,2022-06-16 11:25,22.00
EHBK,2022-06-16 11:55,23.00
EHBK,2022-06-16 12:25,24.00
EHBK,2022-06-16 12:55,24.00
EHBK,2022-06-16 13:25,24.00
EHBK,2022-06-16 13:55,24.00
EHBK,2022-06-16 14:25,24.00
EHBK,2022-06-16 14:55,24.00
EHBK,2022-06-16 15:25,25.00
EHBK,2022-06-16 15:55,24.00
EHBK,2022-06-16 16:25,23.00
EHBK,2022-06-16 16:55,24.00
EHBK,2022-06-16 17:25,24.00
EHBK,2022-06-16 17:55,22.00
EHBK,2022-06-16 18:25,23.00
EHBK,2022-06-16 18:55,22.00
EHBK,2022-06-16 19:25,20.00
EHBK,2022-06-16 19:55,20.00
EHBK,2022-06-16 20:25,19.00
EHBK,2022-06-16 20:55,19.00
EHBK,2022-06-16 21:25,18.00
EHBK,2022-06-16 21:55,17.00
EHBK,2022-06-16 22:25,17.00
EHBK,2022-06-16 22:55,16.00
EHBK,2022-06-16 23:25,16.00
EHBK,2022-06-16 23:55,16.00
EHBK,2022-06-17 00:25,16.00
EHBK,2022-06-17 00:55,15.00
EHBK,2022-06-17 01:25,14.00
EHBK,2022-06-17 01:55,14.00
EHBK,2022-06-17 02:25,13.00
EHBK,2022-06-17 02:55,14.00
EHBK,2022-06-17 03:25,14.00
EHBK,2022-06-17 03:55,16.00
EHBK,2022-06-17 04:25,16.00
EHBK,2022-06-17 04:55,17.00
EHBK,2022-06-17 05:25,18.00
EHBK,2022-06-17 05:55,18.00
EHBK,2022-06-17 06:25,18.00
EHBK,2022-06-17 06:55,19.00
EHBK,2022-06-17 07:25,21.00
EHBK,2022-06-17 07:55,23.00
EHBK,2022-06-17 08:25,23.00
EHBK,2022-06-17 08:55,24.00
EHBK,2022-06-17 09:25,24.00
EHBK,2022-06-17 09:55,25.00
EHBK,2022-06-17 10:25,26.00
EHBK,2022-06-17 10:55,26.00
EHBK,2022-06-17 11:25,27.00
EHBK,2022-06-17 11:55,28.00
EHBK,2022-06-17 12:25,28.00
EHBK,2022-06-17 12:55,29.00
EHBK,2022-06-17 13:25,29.00
EHBK,2022-06-17 13:55,29.00
EHBK,2022-06-17 14:25,29.00
EHBK,2022-06-17 14:55,29.00
EHBK,2022-06-17 15:25,29.00
EHBK,2022-06-17 15:55,30.00
EHBK,2022-06-17 16:25,30.00
EHBK,2022-06-17 16:55,29.00
EHBK,2022-06-17 17:25,29.00
EHBK,2022-06-17 17:55,29.00
EHBK,2022-06-17 18:25,28.00
EHBK,2022-06-17 18:55,27.00
EHBK,2022-06-17 19:25,27.00
EHBK,2022-06-17 19:55,26.00
EHBK,2022-06-17 20:25,24.00
EHBK,2022-06-17 20:55,23.00
EHBK,2022-06-17 21:25,22.00
EHBK,2022-06-17 21:55,23.00
EHBK,2022-06-17 22:25,23.00
EHBK,2022-06-17 22:55,23.00
EHBK,2022-06-17 23:25,22.00
EHBK,2022-06-17 23:55,22.00
EHBK,2022-06-18 00:25,22.00
EHBK,2022-06-18 00:55,22.00
EHBK,2022-06-18 01:25,21.00
EHBK,2022-06-18 01:55,21.00
EHBK,2022-06-18 02:25,21.00
EHBK,2022-06-18 02:55,21.00
EHBK,2022-06-18 03:25,21.00
EHBK,2022-06-18 03:55,21.00
EHBK,2022-06-18 04:25,20.00
EHBK,2022-06-18 04:55,21.00
EHBK,2022-06-18 05:25,22.00
EHBK,2022-06-18 05:55,22.00
EHBK,2022-06-18 06:25,23.00
EHBK,2022-06-18 06:55,24.00
EHBK,2022-06-18 07:25,26.00
EHBK,2022-06-18 07:55,26.00
EHBK,2022-06-18 08:25,27.00
EHBK,2022-06-18 08:55,28.00
EHBK,2022-06-18 09:25,29.00
EHBK,2022-06-18 09:55,29.00
EHBK,2022-06-18 10:25,30.00
EHBK,2022-06-18 10:55,31.00
EHBK,2022-06-18 11:25,32.00
EHBK,2022-06-18 11:55,32.00
EHBK,2022-06-18 12:25,32.00
EHBK,2022-06-18 12:55,32.00
EHBK,2022-06-18 13:25,33.00
EHBK,2022-06-18 13:55,33.00
EHBK,2022-06-18 14:25,33.00
EHBK,2022-06-18 14:55,33.00
EHBK,2022-06-18 15:25,33.00
EHBK,2022-06-18 15:55,33.00
EHBK,2022-06-18 16:25,33.00
EHBK,2022-06-18 16:55,32.00
EHBK,2022-06-18 17:25,32.00
EHBK,2022-06-18 17:55,32.00
EHBK,2022-06-18 18:25,30.00
EHBK,2022-06-18 18:55,29.00
EHBK,2022-06-18 19:25,28.00
EHBK,2022-06-18 19:55,27.00
