 STN,YYYYMMDD,   HH,   DD,   FH,   FF,   FX,    T, T10N,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   WW,   IX,    M,    R,    S,    O,    Y
380,20220615,   24,   40,   50,   50,   70,  175,  156,  104,    0,    0,    0,    0,10180,   83,    8,   63,     ,    5,    0,    0,    0,    0,    0
  380,20220616,    1,   30,   30,   40,   60,  162,     ,  108,    0,    0,    0,    0,10183,   75,    8,   70,     ,    5,    0,    0,    0,    0,    0
  380,20220616,    2,   30,   40,   40,   50,  153,     ,  105,    0,    0,    0,    0,10186,   75,    8,   73,     ,    5,    0,    0,    0,    0,    0
  380,20220616,    3,   20,   40,   40,   50,  148,     ,  101,    0,    0,    0,    0,10190,   75,    1,   73,     ,    5,    0,    0,    0,    0,    0
  380,20220616,    4,   20,   30,   40,   60,  145,     ,   93,    0,    3,    0,    0,10195,   75,    1,   70,     ,    5,    0,    0,    0,    0,    0
  380,20220616,    5,   20,   40,   40,   60,  153,     ,   94,   10,   31,    0,    0,10201,   80,    7,   67,     ,    5,    0,    0,    0,    0,    0
  380,20220616,    6,   30,   40,   30,   60,  166,  120,   94,   10,   85,    0,    0,10207,   79,    1,   62,     ,    5,    0,    0,    0,    0,    0
  380,20220616,    7,   50,   40,   40,   60,  177,     ,   88,   10,  144,    0,    0,10213,   80,    8,   55,     ,    5,    0,    0,    0,    0,    0
  380,20220616,    8,  330,   40,   40,   60,  187,     ,  110,   10,  200,    0,    0,10221,   80,    0,   61,     ,    5,    0,    0,    0,    0,    0
  380,20220616,    9,  350,   30,   30,   50,  203,     ,   93,   10,  243,    0,    0,10224,   78,    0,   49,     ,    5,    0,    0,    0,    0,    0
  380,20220616,   10,   10,   40,   40,   70,  212,     ,   70,   10,  287,    0,    0,10228,   81,    0,   39,     ,    5,    0,    0,    0,    0,    0
  380,20220616,   11,   50,   50,   50,   80,  222,     ,   77,   10,  313,    0,    0,10228,   80,    0,   39,     ,    5,    0,    0,    0,    0,    0
  380,20220616,   12,   60,   40,   40,   70,  228,  180,   83,   10,  327,    0,    0,10228,   81,    0,   39,     ,    5,    0,    0,    0,    0,    0
  380,20220616,   13,   30,   30,   40,   80,  237,     ,   92,   10,  322,    0,    0,10232,   81,    1,   39,     ,    5,    0,    0,    0,    0,    0
  380,20220616,   14,   20,   40,   40,   80,  236,     ,   84,   10,  298,    0,    0,10230,   81,    8,   37,     ,    5,    0,    0,    0,    0,    0
  380,20220616,   15,   60,   40,   30,   80,  244,     ,   93,    9,  247,    0,    0,10231,   82,    8,   38,     ,    5,    0,    0,    0,    0,    0
  380,20220616,   16,   30,   30,   40,   70,  234,     ,   88,    7,  169,    0,    0,10230,   82,    8,   39,     ,    5,    0,    0,    0,    0,    0
  380,20220616,   17,   10,   30,   30,   60,  230,     ,   91,    4,  103,    0,    0,10228,   83,    8,   41,     ,    5,    0,    0,    0,    0,    0
  380,20220616,   18,   50,   40,   30,   60,  222,  215,   92,    7,   81,    0,    0,10230,   83,    8,   43,     ,    5,    0,    0,    0,    0,    0
  380,20220616,   19,   70,   30,   30,   50,  212,     ,   91,   10,   46,    0,    0,10230,   83,    5,   45,     ,    5,    0,    0,    0,    0,    0
  380,20220616,   20,   60,   30,   30,   40,  192,     ,   97,    0,    3,    0,    0,10234,   83,    8,   54,     ,    5,    0,    0,    0,    0,    0
  380,20220616,   21,   70,   20,   20,   30,  185,     ,   98,    0,    0,    0,    0,10238,   83,    8,   57,     ,    5,    0,    0,    0,    0,    0
  380,20220616,   22,   80,   20,   20,   20,  164,     ,  101,    0,    0,    0,    0,10241,   80,    8,   66,     ,    5,    0,    0,    0,    0,    0
  380,20220616,   23,   90,   20,   20,   20,  167,     ,  103,    0,    0,    0,    0,10241,   80,    8,   66,     ,    5,    0,    0,    0,    0,    0
  380,20220616,   24,   90,   20,   20,   30,  159,   95,  100,    0,    0,    0,    0,10239,   80,    8,   67,     ,    5,    0,    0,    0,    0,    0
  380,20220617,    1,  990,   20,   10,   30,  149,     ,   99,    0,    0,    0,    0,10239,   75,    8,   71,     ,    5,    0,    0,    0,    0,    0
  380,20220617,    2,  140,   10,   10,   20,  131,     ,   98,    0,    0,    0,    0,10240,   75,    8,   80,     ,    5,    0,    0,    0,    0,    0
  380,20220617,    3,  190,   10,   10,   20,  134,     ,   96,    0,    0,    0,    0,10242,   75,    8,   77,     ,    5,    0,    0,    0,    0,    0
  380,20220617,    4,  160,   20,   30,   40,  162,     ,   96,    2,    5,    0,    0,10241,   81,    8,   64,     ,    5,    0,    0,    0,    0,    0
  380,20220617,    5,  160,   20,   20,   40,  174,     ,   99,    8,   35,    0,    0,10241,   81,    8,   61,     ,    5,    0,    0,    0,    0,    0
  380,20220617,    6,  190,   20,   20,   40,  177,   78,  114,    4,   51,    0,    0,10242,   80,    8,   67,     ,    5,    0,    0,    0,    0,    0
  380,20220617,    7,  160,   30,   30,   40,  198,     ,  114,    4,   85,    0,    0,10235,   83,    7,   58,     ,    5,    0,    0,    0,    0,    0
  380,20220617,    8,  190,   30,   30,   50,  226,     ,  114,    7,  171,    0,    0,10238,   82,    8,   48,     ,    5,    0,    0,    0,    0,    0
  380,20220617,    9,  200,   30,   30,   40,  238,     ,  110,    9,  218,    0,    0,10237,   81,    2,   44,     ,    5,    0,    0,    0,    0,    0
  380,20220617,   10,  200,   30,   30,   60,  252,     ,   98,   10,  277,    0,    0,10236,   81,    4,   37,     ,    5,    0,    0,    0,    0,    0
  380,20220617,   11,  210,   20,   20,   50,  266,     ,  102,   10,  304,    0,    0,10233,   80,    8,   35,     ,    5,    0,    0,    0,    0,    0
  380,20220617,   12,  180,   30,   30,   70,  276,  171,  100,    9,  311,    0,    0,10228,   81,    8,   33,     ,    5,    0,    0,    0,    0,    0
  380,20220617,   13,  220,   40,   30,   70,  284,     ,   96,   10,  310,    0,    0,10222,   80,    8,   30,     ,    5,    0,    0,    0,    0,    0
  380,20220617,   14,  260,   30,   30,   60,  288,     ,  115,   10,  283,    0,    0,10218,   82,    8,   34,     ,    5,    0,    0,    0,    0,    0
  380,20220617,   15,  240,   40,   40,   70,  291,     ,  123,   10,  235,    0,    0,10213,   80,    8,   35,     ,    5,    0,    0,    0,    0,    0
  380,20220617,   16,  250,   40,   30,   70,  293,     ,  125,   10,  202,    0,    0,10207,   82,    7,   35,     ,    5,    0,    0,    0,    0,    0
  380,20220617,   17,  240,   30,   40,   60,  290,     ,  114,   10,  151,    0,    0,10204,   82,    7,   33,     ,    5,    0,    0,    0,    0,    0
  380,20220617,   18,  240,   30,   30,   60,  282,  266,  120,   10,   90,    0,    0,10200,   82,    8,   36,     ,    5,    0,    0,    0,    0,    0
  380,20220617,   19,  230,   30,   30,   70,  269,     ,  122,   10,   36,    0,    0,10200,   83,    6,   40,     ,    5,    0,    0,    0,    0,    0
  380,20220617,   20,  230,   30,   30,   40,  255,     ,  123,    2,    6,    0,    0,10201,   83,    8,   43,     ,    5,    0,    0,    0,    0,    0
  380,20220617,   21,  200,   30,   20,   40,  232,     ,  126,    0,    0,    0,    0,10200,   82,    3,   51,     ,    5,    0,    0,    0,    0,    0
  380,20220617,   22,  200,   30,   30,   50,  226,     ,  129,    0,    0,    0,    0,10196,   83,    8,   54,     ,    5,    0,    0,    0,    0,    0
  380,20220617,   23,  190,   40,   40,   50,  225,     ,  126,    0,    0,    0,    0,10193,   83,    8,   53,     ,    5,    0,    0,    0,    0,    0
  380,20220617,   24,  200,   40,   50,   60,  219,  173,  128,    0,    0,    0,    0,10191,   83,    8,   56,     ,    5,    0,    0,    0,    0,    0
