"time","dayOfWeek","weekDay","workHour","people","occupancyNote","inCo2","inPressure","inTemp","inHumid","inPart2_5","inPart10","outHumid","outTemp","outPressure","windSpeed","peopleEvery30Min","dCo2since30Min","dMinSince30Min","people2Bin","people2EqualBin","people3Bin","people3EqualBin","peopleChange","halfHour","halfHour2","people_dlag1","people_dlead1","inCo2_dlag1","inCo2_dlead1","inPressure_dlag1","inPressure_dlead1","inTemp_dlag1","inTemp_dlead1","inHumid_dlag1","inHumid_dlead1","inPart2_5_dlag1","inPart2_5_dlead1","inPart10_dlag1","inPart10_dlead1","outHumid_dlag1","outHumid_dlead1","outTemp_dlag1","outTemp_dlead1","outPressure_dlag1","outPressure_dlead1","windSpeed_dlag1","windSpeed_dlead1","ventilationA","ventilationB1","ventilationB2"
2022-06-16 10:41:00,"Thursday","weekday","working",5.4,"",782,1029,23,41,5,9,40.57,22,1022.8,4.68333333333333,4.2,-2.79999999999995,4,"occupied","4-and-higher","0-to-9","2-to-5","increase",2022-06-16 11:00:00,"11:00",0.4,0.899999999999999,13,10.8,0,0,0,0,-1,0,0,-1,0,-2,0,0,0,0,0,0,0.166666666666667,0.166666666666666,0,0,0
2022-06-16 10:51:00,"Thursday","weekday","working",6.3,"",792.8,1029,23,41,4,7,40.57,22,1022.8,4.85,6.3,0,0,"occupied","4-and-higher","0-to-9","6-and-higher","increase",2022-06-16 11:00:00,"11:00",0.899999999999999,-0.8,10.8,-11.5999999999999,0,0,0,1,0,-2,-1,-1,-2,-2,0,-1.574,0,2,0,0.296666666666738,0.166666666666666,-1.33333333333333,4,0,4
2022-06-16 13:31:00,"Thursday","weekday","working",5.5,"",781.2,1029,24,39,3,5,38.996,24,1023.09666666667,3.51666666666667,3.9,4.20000000000005,2,"occupied","4-and-higher","0-to-9","2-to-5","increase",2022-06-16 13:30:00,"13:30",-0.8,-1.9,-11.5999999999999,-9.60000000000002,0,0,1,-1,-2,0,-1,-1,-2,-2,-1.574,0.893333333333331,2,0,0.296666666666738,-0.033333333333303,-1.33333333333333,0.166666666666667,10,10,0
2022-06-16 13:41:00,"Thursday","weekday","working",3.6,"",771.6,1029,23,39,2,3,39.8893333333333,24,1023.06333333333,3.68333333333333,3.9,-5.39999999999998,4,"occupied","0-to-3","0-to-9","2-to-5","decrease",2022-06-16 14:00:00,"14:00",-1.9,0.4,-9.60000000000002,-14,0,0,-1,0,0,0,-1,0,-2,0,0.893333333333331,0.893333333333338,0,0,-0.033333333333303,-0.0333333333334167,0.166666666666667,0.166666666666667,10,10,0
2022-06-16 13:51:00,"Thursday","weekday","working",4,"",757.6,1029,23,39,2,3,40.7826666666667,24,1023.03,3.85,4,0,0,"occupied","4-and-higher","0-to-9","2-to-5","increase",2022-06-16 14:00:00,"14:00",0.4,-0.7,-14,-19.4,0,0,0,0,0,1,0,0,0,0,0.893333333333338,-0.178666666666672,0,0,-0.0333333333334167,-0.0283333333333076,0.166666666666667,0.15,10,10,0
2022-06-16 14:01:00,"Thursday","weekday","working",3.3,"",738.2,1029,23,40,2,3,40.604,24,1023.00166666667,4,4,-19.4,2,"occupied","0-to-3","0-to-9","2-to-5","decrease",2022-06-16 14:00:00,"14:00",-0.7,1.3,-19.4,-20.2,0,0,0,0,1,0,0,0,0,0,-0.178666666666672,-0.893333333333331,0,0,-0.0283333333333076,0.0166666666666515,0.15,0,10,10,0
2022-06-16 14:11:00,"Thursday","weekday","working",4.6,"",718,1029,23,40,2,3,39.7106666666667,24,1023.01833333333,4,4,-39.6,4,"occupied","4-and-higher","0-to-9","2-to-5","increase",2022-06-16 14:30:00,"14:30",1.3,0.4,-20.2,-23,0,0,0,0,0,0,0,0,0,0,-0.893333333333331,-0.893333333333331,0,0,0.0166666666666515,0.0166666666666515,0,0,10,10,0
2022-06-16 14:21:00,"Thursday","weekday","working",5,"",695,1029,23,40,2,3,38.8173333333333,24,1023.035,4,5,0,0,"occupied","4-and-higher","0-to-9","2-to-5","increase",2022-06-16 14:30:00,"14:30",0.4,0,-23,-19,0,0,0,0,0,1,0,0,0,0,-0.893333333333331,0.178666666666665,0,0,0.0166666666666515,0.0166666666667652,0,0,10,10,0
2022-06-16 14:31:00,"Thursday","weekday","working",5,"",676,1029,23,41,2,3,38.996,24,1023.05166666667,4,5,-19,2,"occupied","4-and-higher","0-to-9","2-to-5","unchanged",2022-06-16 14:30:00,"14:30",0,-0.0999999999999996,-19,-14.4,0,0,0,0,1,0,0,0,0,0,0.178666666666665,0.893333333333331,0,0,0.0166666666667652,0.0166666666666515,0,0,10,10,0
2022-06-16 14:41:00,"Thursday","weekday","working",4.9,"",661.6,1029,23,41,2,3,39.8893333333333,24,1023.06833333333,4,5,-33.4,4,"occupied","4-and-higher","0-to-9","2-to-5","decrease",2022-06-16 15:00:00,"15:00",-0.0999999999999996,-1.6,-14.4,-22.8000000000001,0,0,0,0,0,0,0,0,0,0,0.893333333333331,0.893333333333338,0,0,0.0166666666666515,0.0166666666666515,0,0,10,10,0
