"time","dayOfWeek","weekDay","workHour","people","occupancyNote","inCo2","inPressure","inTemp","inHumid","inPart2_5","inPart10","outHumid","outTemp","outPressure","windSpeed","peopleEvery30Min","dCo2since30Min","dMinSince30Min","people2Bin","people2EqualBin","people3Bin","people3EqualBin","diffTemp","diffHumid","diffPressure","people_lag1","people_lag2","people_lag3","people_lag4","people_lead1","people_lead2","people_lead3","people_lead4","people2Bin_lag1","people2Bin_lag2","people2Bin_lag3","people2Bin_lag4","people2Bin_lead1","people2Bin_lead2","people2Bin_lead3","people2Bin_lead4","people2EqualBin_lag1","people2EqualBin_lag2","people2EqualBin_lag3","people2EqualBin_lag4","people2EqualBin_lead1","people2EqualBin_lead2","people2EqualBin_lead3","people2EqualBin_lead4","people3Bin_lag1","people3Bin_lag2","people3Bin_lag3","people3Bin_lag4","people3Bin_lead1","people3Bin_lead2","people3Bin_lead3","people3Bin_lead4","people3EqualBin_lag1","people3EqualBin_lag2","people3EqualBin_lag3","people3EqualBin_lag4","people3EqualBin_lead1","people3EqualBin_lead2","people3EqualBin_lead3","people3EqualBin_lead4","inCo2_lag1","inCo2_lag2","inCo2_lag3","inCo2_lag4","inCo2_lead1","inCo2_lead2","inCo2_lead3","inCo2_lead4","inPressure_lag1","inPressure_lag2","inPressure_lag3","inPressure_lag4","inPressure_lead1","inPressure_lead2","inPressure_lead3","inPressure_lead4","inTemp_lag1","inTemp_lag2","inTemp_lag3","inTemp_lag4","inTemp_lead1","inTemp_lead2","inTemp_lead3","inTemp_lead4","inHumid_lag1","inHumid_lag2","inHumid_lag3","inHumid_lag4","inHumid_lead1","inHumid_lead2","inHumid_lead3","inHumid_lead4","inPart2_5_lag1","inPart2_5_lag2","inPart2_5_lag3","inPart2_5_lag4","inPart2_5_lead1","inPart2_5_lead2","inPart2_5_lead3","inPart2_5_lead4","inPart10_lag1","inPart10_lag2","inPart10_lag3","inPart10_lag4","inPart10_lead1","inPart10_lead2","inPart10_lead3","inPart10_lead4","outHumid_lag1","outHumid_lag2","outHumid_lag3","outHumid_lag4","outHumid_lead1","outHumid_lead2","outHumid_lead3","outHumid_lead4","outTemp_lag1","outTemp_lag2","outTemp_lag3","outTemp_lag4","outTemp_lead1","outTemp_lead2","outTemp_lead3","outTemp_lead4","outPressure_lag1","outPressure_lag2","outPressure_lag3","outPressure_lag4","outPressure_lead1","outPressure_lead2","outPressure_lead3","outPressure_lead4","windSpeed_lag1","windSpeed_lag2","windSpeed_lag3","windSpeed_lag4","windSpeed_lead1","windSpeed_lead2","windSpeed_lead3","windSpeed_lead4","diffTemp_lag1","diffTemp_lag2","diffTemp_lag3","diffTemp_lag4","diffTemp_lead1","diffTemp_lead2","diffTemp_lead3","diffTemp_lead4","diffHumid_lag1","diffHumid_lag2","diffHumid_lag3","diffHumid_lag4","diffHumid_lead1","diffHumid_lead2","diffHumid_lead3","diffHumid_lead4","diffPressure_lag1","diffPressure_lag2","diffPressure_lag3","diffPressure_lag4","diffPressure_lead1","diffPressure_lead2","diffPressure_lead3","diffPressure_lead4"
2022-06-18 07:31:00,"Saturday","weekend","working",0,"",434,1025,22,50,2,3,50.69,26,1017.89666666667,4,0,19,20,"empty","0-to-3","0-to-9","0-to-1",4,0.689999999999998,-7.10333333333335,0,0,0,0,0,0,0,0,"empty","empty","empty","empty","empty","empty","empty","empty","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1",431,432,426,421,436,436,436,432,1025,1025,1025,1025,1025,1025,1025,1024,22,22,22,22,22,22,22,22,50,51,51,51,50,49,49,49,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,50.69,50.69,50.69,51.1186666666667,50.69,50.69,50.69,50.69,26,26,26,25.8666666666667,26,26,26,26,1017.90333333333,1017.91,1017.91666666667,1017.92333333333,1017.89,1017.88333333333,1017.87666666667,1017.87,4,4,4,4,4,4,4,4,4,4,4,3.86666666666667,4,4,4,4,0.689999999999998,-0.310000000000002,-0.310000000000002,0.118666666666662,0.689999999999998,1.69,1.69,1.69,-7.09666666666669,-7.09000000000003,-7.08333333333337,-7.07666666666671,-7.11000000000001,-7.11666666666667,-7.12333333333333,-6.13
2022-06-18 07:33:00,"Saturday","weekend","working",0,"",436,1025,22,50,2,3,50.69,26,1017.89,4,0,21,22,"empty","0-to-3","0-to-9","0-to-1",4,0.689999999999998,-7.11000000000001,0,0,0,0,0,0,0,0,"empty","empty","empty","empty","empty","empty","empty","empty","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1",434,431,432,426,436,436,432,427,1025,1025,1025,1025,1025,1025,1024,1024,22,22,22,22,22,22,22,22,50,50,51,51,49,49,49,49,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,50.69,50.69,50.69,50.69,50.69,50.69,50.69,50.69,26,26,26,26,26,26,26,26,1017.89666666667,1017.90333333333,1017.91,1017.91666666667,1017.88333333333,1017.87666666667,1017.87,1017.86333333333,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.689999999999998,0.689999999999998,-0.310000000000002,-0.310000000000002,1.69,1.69,1.69,1.69,-7.10333333333335,-7.09666666666669,-7.09000000000003,-7.08333333333337,-7.11666666666667,-7.12333333333333,-6.13,-6.13666666666666
2022-06-18 07:35:00,"Saturday","weekend","working",0,"",436,1025,22,49,2,3,50.69,26,1017.88333333333,4,0,21,24,"empty","0-to-3","0-to-9","0-to-1",4,1.69,-7.11666666666667,0,0,0,0,0,0,0,0,"empty","empty","empty","empty","empty","empty","empty","empty","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1",436,434,431,432,436,432,427,420,1025,1025,1025,1025,1025,1024,1024,1024,22,22,22,22,22,22,22,22,50,50,50,51,49,49,49,49,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,50.69,50.69,50.69,50.69,50.69,50.69,50.69,50.69,26,26,26,26,26,26,26,26,1017.89,1017.89666666667,1017.90333333333,1017.91,1017.87666666667,1017.87,1017.86333333333,1017.85666666667,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.689999999999998,0.689999999999998,0.689999999999998,-0.310000000000002,1.69,1.69,1.69,1.69,-7.11000000000001,-7.10333333333335,-7.09666666666669,-7.09000000000003,-7.12333333333333,-6.13,-6.13666666666666,-6.14333333333332
2022-06-18 07:37:00,"Saturday","weekend","working",0,"",436,1025,22,49,2,3,50.69,26,1017.87666666667,4,0,21,26,"empty","0-to-3","0-to-9","0-to-1",4,1.69,-7.12333333333333,0,0,0,0,0,0,0,0,"empty","empty","empty","empty","empty","empty","empty","empty","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1",436,436,434,431,432,427,420,420,1025,1025,1025,1025,1024,1024,1024,1024,22,22,22,22,22,22,22,22,49,50,50,50,49,49,49,48,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,50.69,50.69,50.69,50.69,50.69,50.69,50.69,50.69,26,26,26,26,26,26,26,26,1017.88333333333,1017.89,1017.89666666667,1017.90333333333,1017.87,1017.86333333333,1017.85666666667,1017.85,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.69,0.689999999999998,0.689999999999998,0.689999999999998,1.69,1.69,1.69,2.69,-7.11666666666667,-7.11000000000001,-7.10333333333335,-7.09666666666669,-6.13,-6.13666666666666,-6.14333333333332,-6.15000000000009
2022-06-18 07:39:00,"Saturday","weekend","working",0,"",432,1024,22,49,2,3,50.69,26,1017.87,4,0,17,28,"empty","0-to-3","0-to-9","0-to-1",4,1.69,-6.13,0,0,0,0,0,0,0,0,"empty","empty","empty","empty","empty","empty","empty","empty","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1",436,436,436,434,427,420,420,419,1025,1025,1025,1025,1024,1024,1024,1024,22,22,22,22,22,22,22,22,49,49,50,50,49,49,48,49,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,50.69,50.69,50.69,50.69,50.69,50.69,50.69,50.69,26,26,26,26,26,26,26,26,1017.87666666667,1017.88333333333,1017.89,1017.89666666667,1017.86333333333,1017.85666666667,1017.85,1017.84333333333,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.69,1.69,0.689999999999998,0.689999999999998,1.69,1.69,2.69,1.69,-7.12333333333333,-7.11666666666667,-7.11000000000001,-7.10333333333335,-6.13666666666666,-6.14333333333332,-6.15000000000009,-6.15666666666675
2022-06-18 07:41:00,"Saturday","weekend","working",0,"",427,1024,22,49,2,3,50.69,26,1017.86333333333,4,0,0,0,"empty","0-to-3","0-to-9","0-to-1",4,1.69,-6.13666666666666,0,0,0,0,0,0,0,0,"empty","empty","empty","empty","empty","empty","empty","empty","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1",432,436,436,436,420,420,419,421,1024,1025,1025,1025,1024,1024,1024,1024,22,22,22,22,22,22,22,22,49,49,49,50,49,48,49,49,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,50.69,50.69,50.69,50.69,50.69,50.69,50.69,50.69,26,26,26,26,26,26,26,26,1017.87,1017.87666666667,1017.88333333333,1017.89,1017.85666666667,1017.85,1017.84333333333,1017.83666666667,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.69,1.69,1.69,0.689999999999998,1.69,2.69,1.69,1.69,-6.13,-7.12333333333333,-7.11666666666667,-7.11000000000001,-6.14333333333332,-6.15000000000009,-6.15666666666675,-6.16333333333341
2022-06-18 07:43:00,"Saturday","weekend","working",0,"",420,1024,22,49,2,3,50.69,26,1017.85666666667,4,0,-7,2,"empty","0-to-3","0-to-9","0-to-1",4,1.69,-6.14333333333332,0,0,0,0,0,0,0,0,"empty","empty","empty","empty","empty","empty","empty","empty","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1",427,432,436,436,420,419,421,427,1024,1024,1025,1025,1024,1024,1024,1024,22,22,22,22,22,22,22,22,49,49,49,49,48,49,49,50,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,50.69,50.69,50.69,50.69,50.69,50.69,50.69,50.69,26,26,26,26,26,26,26,26,1017.86333333333,1017.87,1017.87666666667,1017.88333333333,1017.85,1017.84333333333,1017.83666666667,1017.83,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.69,1.69,1.69,1.69,2.69,1.69,1.69,0.689999999999998,-6.13666666666666,-6.13,-7.12333333333333,-7.11666666666667,-6.15000000000009,-6.15666666666675,-6.16333333333341,-6.17000000000007
2022-06-18 07:45:00,"Saturday","weekend","working",0,"",420,1024,22,48,2,3,50.69,26,1017.85,4,0,-7,4,"empty","0-to-3","0-to-9","0-to-1",4,2.69,-6.15000000000009,0,0,0,0,0,0,0,0,"empty","empty","empty","empty","empty","empty","empty","empty","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1",420,427,432,436,419,421,427,426,1024,1024,1024,1025,1024,1024,1024,1024,22,22,22,22,22,22,22,22,49,49,49,49,49,49,50,51,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,50.69,50.69,50.69,50.69,50.69,50.69,50.69,50.69,26,26,26,26,26,26,26,26,1017.85666666667,1017.86333333333,1017.87,1017.87666666667,1017.84333333333,1017.83666666667,1017.83,1017.82333333333,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.69,1.69,1.69,1.69,1.69,1.69,0.689999999999998,-0.310000000000002,-6.14333333333332,-6.13666666666666,-6.13,-7.12333333333333,-6.15666666666675,-6.16333333333341,-6.17000000000007,-6.17666666666673
2022-06-18 07:47:00,"Saturday","weekend","working",0,"",419,1024,22,49,2,3,50.69,26,1017.84333333333,4,0,-8,6,"empty","0-to-3","0-to-9","0-to-1",4,1.69,-6.15666666666675,0,0,0,0,0,0,0,0,"empty","empty","empty","empty","empty","empty","empty","empty","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1",420,420,427,432,421,427,426,425,1024,1024,1024,1024,1024,1024,1024,1024,22,22,22,22,22,22,22,22,48,49,49,49,49,50,51,52,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,50.69,50.69,50.69,50.69,50.69,50.69,50.69,50.69,26,26,26,26,26,26,26,26,1017.85,1017.85666666667,1017.86333333333,1017.87,1017.83666666667,1017.83,1017.82333333333,1017.81666666667,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2.69,1.69,1.69,1.69,1.69,0.689999999999998,-0.310000000000002,-1.31,-6.15000000000009,-6.14333333333332,-6.13666666666666,-6.13,-6.16333333333341,-6.17000000000007,-6.17666666666673,-6.18333333333339
2022-06-18 07:49:00,"Saturday","weekend","working",0,"",421,1024,22,49,2,3,50.69,26,1017.83666666667,4,0,-6,8,"empty","0-to-3","0-to-9","0-to-1",4,1.69,-6.16333333333341,0,0,0,0,0,0,0,0,"empty","empty","empty","empty","empty","empty","empty","empty","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1",419,420,420,427,427,426,425,428,1024,1024,1024,1024,1024,1024,1024,1024,22,22,22,22,22,22,22,22,49,48,49,49,50,51,52,51,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,50.69,50.69,50.69,50.69,50.69,50.69,50.69,50.4966666666667,26,26,26,26,26,26,26,26.0666666666667,1017.84333333333,1017.85,1017.85666666667,1017.86333333333,1017.83,1017.82333333333,1017.81666666667,1017.81,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.06666666666667,1.69,2.69,1.69,1.69,0.689999999999998,-0.310000000000002,-1.31,-0.503333333333337,-6.15666666666675,-6.15000000000009,-6.14333333333332,-6.13666666666666,-6.17000000000007,-6.17666666666673,-6.18333333333339,-6.19000000000005
