"time","dayOfWeek","weekDay","workHour","people","occupancyNote","inCo2","inPressure","inTemp","inHumid","inPart2_5","inPart10","outHumid","outTemp","outPressure","windSpeed","peopleEvery30Min","dCo2since30Min","dMinSince30Min","people2Bin","people2EqualBin","people3Bin","people3EqualBin","diffTemp","diffHumid","diffPressure","halfHour","halfHour2","ventMode","ventMode2","people_lag1","people_lag2","people_lag3","people_lag4","people_lead1","people_lead2","people_lead3","people_lead4","people2Bin_lag1","people2Bin_lag2","people2Bin_lag3","people2Bin_lag4","people2Bin_lead1","people2Bin_lead2","people2Bin_lead3","people2Bin_lead4","people2EqualBin_lag1","people2EqualBin_lag2","people2EqualBin_lag3","people2EqualBin_lag4","people2EqualBin_lead1","people2EqualBin_lead2","people2EqualBin_lead3","people2EqualBin_lead4","people3Bin_lag1","people3Bin_lag2","people3Bin_lag3","people3Bin_lag4","people3Bin_lead1","people3Bin_lead2","people3Bin_lead3","people3Bin_lead4","people3EqualBin_lag1","people3EqualBin_lag2","people3EqualBin_lag3","people3EqualBin_lag4","people3EqualBin_lead1","people3EqualBin_lead2","people3EqualBin_lead3","people3EqualBin_lead4","inCo2_lag1","inCo2_lag2","inCo2_lag3","inCo2_lag4","inCo2_lead1","inCo2_lead2","inCo2_lead3","inCo2_lead4","inPressure_lag1","inPressure_lag2","inPressure_lag3","inPressure_lag4","inPressure_lead1","inPressure_lead2","inPressure_lead3","inPressure_lead4","inTemp_lag1","inTemp_lag2","inTemp_lag3","inTemp_lag4","inTemp_lead1","inTemp_lead2","inTemp_lead3","inTemp_lead4","inHumid_lag1","inHumid_lag2","inHumid_lag3","inHumid_lag4","inHumid_lead1","inHumid_lead2","inHumid_lead3","inHumid_lead4","inPart2_5_lag1","inPart2_5_lag2","inPart2_5_lag3","inPart2_5_lag4","inPart2_5_lead1","inPart2_5_lead2","inPart2_5_lead3","inPart2_5_lead4","inPart10_lag1","inPart10_lag2","inPart10_lag3","inPart10_lag4","inPart10_lead1","inPart10_lead2","inPart10_lead3","inPart10_lead4","outHumid_lag1","outHumid_lag2","outHumid_lag3","outHumid_lag4","outHumid_lead1","outHumid_lead2","outHumid_lead3","outHumid_lead4","outTemp_lag1","outTemp_lag2","outTemp_lag3","outTemp_lag4","outTemp_lead1","outTemp_lead2","outTemp_lead3","outTemp_lead4","outPressure_lag1","outPressure_lag2","outPressure_lag3","outPressure_lag4","outPressure_lead1","outPressure_lead2","outPressure_lead3","outPressure_lead4","windSpeed_lag1","windSpeed_lag2","windSpeed_lag3","windSpeed_lag4","windSpeed_lead1","windSpeed_lead2","windSpeed_lead3","windSpeed_lead4","ventMode_lag1","ventMode_lag2","ventMode_lag3","ventMode_lag4","ventMode_lead1","ventMode_lead2","ventMode_lead3","ventMode_lead4","people_dlag1","people_dlag2","people_dlag3","people_dlag4","people_dlead1","people_dlead2","people_dlead3","people_dlead4","inCo2_dlag1","inCo2_dlag2","inCo2_dlag3","inCo2_dlag4","inCo2_dlead1","inCo2_dlead2","inCo2_dlead3","inCo2_dlead4","inPressure_dlag1","inPressure_dlag2","inPressure_dlag3","inPressure_dlag4","inPressure_dlead1","inPressure_dlead2","inPressure_dlead3","inPressure_dlead4","inTemp_dlag1","inTemp_dlag2","inTemp_dlag3","inTemp_dlag4","inTemp_dlead1","inTemp_dlead2","inTemp_dlead3","inTemp_dlead4","inHumid_dlag1","inHumid_dlag2","inHumid_dlag3","inHumid_dlag4","inHumid_dlead1","inHumid_dlead2","inHumid_dlead3","inHumid_dlead4","inPart2_5_dlag1","inPart2_5_dlag2","inPart2_5_dlag3","inPart2_5_dlag4","inPart2_5_dlead1","inPart2_5_dlead2","inPart2_5_dlead3","inPart2_5_dlead4","inPart10_dlag1","inPart10_dlag2","inPart10_dlag3","inPart10_dlag4","inPart10_dlead1","inPart10_dlead2","inPart10_dlead3","inPart10_dlead4","outHumid_dlag1","outHumid_dlag2","outHumid_dlag3","outHumid_dlag4","outHumid_dlead1","outHumid_dlead2","outHumid_dlead3","outHumid_dlead4","outTemp_dlag1","outTemp_dlag2","outTemp_dlag3","outTemp_dlag4","outTemp_dlead1","outTemp_dlead2","outTemp_dlead3","outTemp_dlead4","outPressure_dlag1","outPressure_dlag2","outPressure_dlag3","outPressure_dlag4","outPressure_dlead1","outPressure_dlead2","outPressure_dlead3","outPressure_dlead4","windSpeed_dlag1","windSpeed_dlag2","windSpeed_dlag3","windSpeed_dlag4","windSpeed_dlead1","windSpeed_dlead2","windSpeed_dlead3","windSpeed_dlead4","inCo2_dlead1lag1","inCo2_dlead2lag1","inCo2_dlead3lag1","inCo2_dlead4lag1","ventCo2dlag1Interaction"
2022-03-22 16:02:00,"Tuesday","weekday","working",11,"",1247,1036,26,32,3,5,23.9246666666667,17,1029.59666666667,4.96666666666667,10,-41,8,"occupied","4-and-higher","10-to-19","6-and-higher",-9,-8.07533333333333,-6.40333333333342,2022-03-22 16:00:00,"16:00","low",0,10,10.5,10.5,10,15,12.5,11.5,11,"occupied","occupied","occupied","occupied","occupied","occupied","occupied","occupied","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher",1262,1269,1277,1288,1228,1213,1192,1169,1036,1036,1036,1036,1036,1036,1036,1036,26,26,25,25,26,26,26,25,32,32,32,32,32,32,31,31,3,3,3,3,3,2,3,3,5,5,5,5,5,3,5,5,23.8033333333333,23.682,23.5606666666667,23.5606666666667,24.046,24.1673333333333,24.2886666666667,24.41,17,17,17,17,17,17,17,17,1029.6,1029.61,1029.62,1029.63,1029.59333333333,1029.59,1029.58666666667,1029.58333333333,5,5,5,5,4.93333333333333,4.9,4.86666666666667,4.83333333333333,"low","low","low","low","low","low","low","low",1,0.5,0.5,1,4,1.5,0.5,0,-15,-22,-30,-41,-19,-34,-55,-78,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-2,0,0,0.121333333333332,0.242666666666668,0.364000000000001,0.364000000000001,0.121333333333332,0.242666666666665,0.364000000000001,0.485333333333333,0,0,0,0,0,0,0,0,-0.0033333333333303,-0.0133333333333212,-0.0233333333333121,-0.033333333333303,-0.0033333333333303,-0.0066666666666606,-0.00999999999999091,-0.0133333333333212,-0.0333333333333332,-0.0333333333333332,-0.0333333333333332,-0.0333333333333332,-0.0333333333333332,-0.0666666666666664,-0.100000000000001,-0.133333333333334,-34,-49,-70,-93,0
2022-03-22 16:04:00,"Tuesday","weekday","working",15,"",1228,1036,26,32,3,5,24.046,17,1029.59333333333,4.93333333333333,10,-60,10,"occupied","4-and-higher","10-to-19","6-and-higher",-9,-7.954,-6.40666666666675,2022-03-22 16:00:00,"16:00","low",0,11,10,10.5,10.5,12.5,11.5,11,11,"occupied","occupied","occupied","occupied","occupied","occupied","occupied","occupied","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher",1247,1262,1269,1277,1213,1192,1169,1150,1036,1036,1036,1036,1036,1036,1036,1036,26,26,26,25,26,26,25,25,32,32,32,32,32,31,31,31,3,3,3,3,2,3,3,3,5,5,5,5,3,5,5,5,23.9246666666667,23.8033333333333,23.682,23.5606666666667,24.1673333333333,24.2886666666667,24.41,24.5313333333333,17,17,17,17,17,17,17,17,1029.59666666667,1029.6,1029.61,1029.62,1029.59,1029.58666666667,1029.58333333333,1029.58,4.96666666666667,5,5,5,4.9,4.86666666666667,4.83333333333333,4.8,"low","low","low","low","low","low","low","low",4,5,4.5,4.5,-2.5,-3.5,-4,-4,-19,-34,-41,-49,-15,-36,-59,-78,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,-2,0,0,0,0.121333333333332,0.242666666666665,0.364000000000001,0.485333333333333,0.121333333333332,0.242666666666668,0.364000000000001,0.485333333333333,0,0,0,0,0,0,0,0,-0.0033333333333303,-0.0066666666666606,-0.0166666666666515,-0.0266666666666424,-0.0033333333333303,-0.0066666666666606,-0.00999999999999091,-0.0133333333333212,-0.0333333333333332,-0.0666666666666664,-0.0666666666666664,-0.0666666666666664,-0.0333333333333332,-0.0666666666666673,-0.100000000000001,-0.133333333333334,-34,-55,-78,-97,0
2022-03-22 16:06:00,"Tuesday","weekday","working",12.5,"",1213,1036,26,32,2,3,24.1673333333333,17,1029.59,4.9,10,-75,12,"occupied","4-and-higher","10-to-19","6-and-higher",-9,-7.83266666666667,-6.41000000000008,2022-03-22 16:30:00,"16:30","low",0,15,11,10,10.5,11.5,11,11,11,"occupied","occupied","occupied","occupied","occupied","occupied","occupied","occupied","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher",1228,1247,1262,1269,1192,1169,1150,1126,1036,1036,1036,1036,1036,1036,1036,1036,26,26,26,26,26,25,25,25,32,32,32,32,31,31,31,31,3,3,3,3,3,3,3,2,5,5,5,5,5,5,5,3,24.046,23.9246666666667,23.8033333333333,23.682,24.2886666666667,24.41,24.5313333333333,24.6526666666667,17,17,17,17,17,17,17,17,1029.59333333333,1029.59666666667,1029.6,1029.61,1029.58666666667,1029.58333333333,1029.58,1029.57666666667,4.93333333333333,4.96666666666667,5,5,4.86666666666667,4.83333333333333,4.8,4.76666666666667,"low","low","low","low","low","low","low","low",-2.5,1.5,2.5,2,-1,-1.5,-1.5,-1.5,-15,-34,-49,-56,-21,-44,-63,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,-2,-2,-2,-2,2,2,2,0,0.121333333333332,0.242666666666665,0.363999999999997,0.485333333333333,0.121333333333336,0.242666666666668,0.364000000000001,0.485333333333337,0,0,0,0,0,0,0,0,-0.0033333333333303,-0.0066666666666606,-0.00999999999999091,-0.0199999999999818,-0.0033333333333303,-0.0066666666666606,-0.00999999999999091,-0.0133333333333212,-0.0333333333333332,-0.0666666666666664,-0.0999999999999996,-0.0999999999999996,-0.0333333333333341,-0.0666666666666673,-0.100000000000001,-0.133333333333334,-36,-59,-78,-102,0
2022-03-22 16:08:00,"Tuesday","weekday","working",11.5,"",1192,1036,26,31,3,5,24.2886666666667,17,1029.58666666667,4.86666666666667,10,-96,14,"occupied","4-and-higher","10-to-19","6-and-higher",-9,-6.71133333333333,-6.41333333333341,2022-03-22 16:30:00,"16:30","low",0,12.5,15,11,10,11,11,11,11,"occupied","occupied","occupied","occupied","occupied","occupied","occupied","occupied","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher",1213,1228,1247,1262,1169,1150,1126,1115,1036,1036,1036,1036,1036,1036,1036,1036,26,26,26,26,25,25,25,25,32,32,32,32,31,31,31,31,2,3,3,3,3,3,2,2,3,5,5,5,5,5,3,3,24.1673333333333,24.046,23.9246666666667,23.8033333333333,24.41,24.5313333333333,24.6526666666667,24.774,17,17,17,17,17,17,17,17,1029.59,1029.59333333333,1029.59666666667,1029.6,1029.58333333333,1029.58,1029.57666666667,1029.57333333333,4.9,4.93333333333333,4.96666666666667,5,4.83333333333333,4.8,4.76666666666667,4.73333333333333,"low","low","low","low","low","low","low","low",-1,-3.5,0.5,1.5,-0.5,-0.5,-0.5,-0.5,-21,-36,-55,-70,-23,-42,-66,-77,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,-1,-1,2,0,0,0,0,0,-2,-2,0.121333333333336,0.242666666666668,0.364000000000001,0.485333333333333,0.121333333333332,0.242666666666665,0.364000000000001,0.485333333333333,0,0,0,0,0,0,0,0,-0.0033333333333303,-0.0066666666666606,-0.00999999999999091,-0.0133333333333212,-0.0033333333333303,-0.0066666666666606,-0.00999999999999091,-0.0133333333333212,-0.0333333333333341,-0.0666666666666673,-0.100000000000001,-0.133333333333334,-0.0333333333333332,-0.0666666666666664,-0.0999999999999996,-0.133333333333333,-44,-63,-87,-98,0
2022-03-22 16:10:00,"Tuesday","weekday","working",11,"",1169,1036,25,31,3,5,24.41,17,1029.58333333333,4.83333333333333,10,-119,16,"occupied","4-and-higher","10-to-19","6-and-higher",-8,-6.59,-6.41666666666674,2022-03-22 16:30:00,"16:30","low",0,11.5,12.5,15,11,11,11,11,11,"occupied","occupied","occupied","occupied","occupied","occupied","occupied","occupied","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher",1192,1213,1228,1247,1150,1126,1115,1101,1036,1036,1036,1036,1036,1036,1036,1036,26,26,26,26,25,25,25,25,31,32,32,32,31,31,31,31,3,2,3,3,3,2,2,2,5,3,5,5,5,3,3,3,24.2886666666667,24.1673333333333,24.046,23.9246666666667,24.5313333333333,24.6526666666667,24.774,24.8953333333333,17,17,17,17,17,17,17,17,1029.58666666667,1029.59,1029.59333333333,1029.59666666667,1029.58,1029.57666666667,1029.57333333333,1029.57,4.86666666666667,4.9,4.93333333333333,4.96666666666667,4.8,4.76666666666667,4.73333333333333,4.7,"low","low","low","low","low","low","low","low",-0.5,-1.5,-4,0,0,0,0,0,-23,-44,-59,-78,-19,-43,-54,-68,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,2,0,0,0,-2,-2,-2,0.121333333333332,0.242666666666668,0.364000000000001,0.485333333333333,0.121333333333332,0.242666666666668,0.364000000000001,0.485333333333333,0,0,0,0,0,0,0,0,-0.0033333333333303,-0.0066666666666606,-0.00999999999999091,-0.0133333333333212,-0.0033333333333303,-0.0066666666666606,-0.00999999999999091,-0.0133333333333212,-0.0333333333333332,-0.0666666666666673,-0.100000000000001,-0.133333333333334,-0.0333333333333332,-0.0666666666666664,-0.0999999999999996,-0.133333333333333,-42,-66,-77,-91,0
2022-03-22 16:12:00,"Tuesday","weekday","working",11,"",1150,1036,25,31,3,5,24.5313333333333,17,1029.58,4.8,10,-138,18,"occupied","4-and-higher","10-to-19","6-and-higher",-8,-6.46866666666667,-6.42000000000007,2022-03-22 16:30:00,"16:30","low",0,11,11.5,12.5,15,11,11,11,11,"occupied","occupied","occupied","occupied","occupied","occupied","occupied","occupied","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher",1169,1192,1213,1228,1126,1115,1101,1104,1036,1036,1036,1036,1036,1036,1036,1036,25,26,26,26,25,25,25,25,31,31,32,32,31,31,31,31,3,3,2,3,2,2,2,2,5,5,3,5,3,3,3,3,24.41,24.2886666666667,24.1673333333333,24.046,24.6526666666667,24.774,24.8953333333333,25.0166666666667,17,17,17,17,17,17,17,17,1029.58333333333,1029.58666666667,1029.59,1029.59333333333,1029.57666666667,1029.57333333333,1029.57,1029.56666666667,4.83333333333333,4.86666666666667,4.9,4.93333333333333,4.76666666666667,4.73333333333333,4.7,4.66666666666667,"low","low","low","low","low","low","low","low",0,-0.5,-1.5,-4,0,0,0,0,-19,-42,-63,-78,-24,-35,-49,-46,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1,0,-1,-1,-1,-1,0,0,2,0,-2,-2,-2,-2,0.121333333333332,0.242666666666665,0.364000000000001,0.485333333333333,0.121333333333336,0.242666666666668,0.364000000000001,0.485333333333333,0,0,0,0,0,0,0,0,-0.0033333333333303,-0.0066666666666606,-0.00999999999999091,-0.0133333333333212,-0.0033333333333303,-0.0066666666666606,-0.00999999999999091,-0.0133333333333212,-0.0333333333333332,-0.0666666666666664,-0.100000000000001,-0.133333333333334,-0.0333333333333332,-0.0666666666666664,-0.0999999999999996,-0.133333333333333,-43,-54,-68,-65,0
2022-03-22 16:14:00,"Tuesday","weekday","working",11,"",1126,1036,25,31,2,3,24.6526666666667,17,1029.57666666667,4.76666666666667,10,-162,20,"occupied","4-and-higher","10-to-19","6-and-higher",-8,-6.34733333333333,-6.4233333333334,2022-03-22 16:30:00,"16:30","low",0,11,11,11.5,12.5,11,11,11,12,"occupied","occupied","occupied","occupied","occupied","occupied","occupied","occupied","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher",1150,1169,1192,1213,1115,1101,1104,1098,1036,1036,1036,1036,1036,1036,1036,1036,25,25,26,26,25,25,25,25,31,31,31,32,31,31,31,31,3,3,3,2,2,2,2,3,5,5,5,3,3,3,3,5,24.5313333333333,24.41,24.2886666666667,24.1673333333333,24.774,24.8953333333333,25.0166666666667,25.138,17,17,17,17,17,17,17,17,1029.58,1029.58333333333,1029.58666666667,1029.59,1029.57333333333,1029.57,1029.56666666667,1029.56333333333,4.8,4.83333333333333,4.86666666666667,4.9,4.73333333333333,4.7,4.66666666666667,4.63333333333333,"low","low","low","low","low","low","low","low",0,0,-0.5,-1.5,0,0,0,1,-24,-43,-66,-87,-11,-25,-22,-28,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,0,0,0,0,1,-2,-2,-2,0,0,0,0,2,0.121333333333336,0.242666666666668,0.364000000000001,0.485333333333337,0.121333333333332,0.242666666666665,0.363999999999997,0.485333333333333,0,0,0,0,0,0,0,0,-0.0033333333333303,-0.0066666666666606,-0.00999999999999091,-0.0133333333333212,-0.0033333333333303,-0.0066666666666606,-0.00999999999999091,-0.0133333333333212,-0.0333333333333332,-0.0666666666666664,-0.0999999999999996,-0.133333333333334,-0.0333333333333332,-0.0666666666666664,-0.0999999999999996,-0.133333333333333,-35,-49,-46,-52,0
2022-03-22 16:16:00,"Tuesday","weekday","working",11,"",1115,1036,25,31,2,3,24.774,17,1029.57333333333,4.73333333333333,10,-173,22,"occupied","4-and-higher","10-to-19","6-and-higher",-8,-6.226,-6.42666666666673,2022-03-22 16:30:00,"16:30","low",0,11,11,11,11.5,11,11,12,11,"occupied","occupied","occupied","occupied","occupied","occupied","occupied","occupied","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher",1126,1150,1169,1192,1101,1104,1098,1093,1036,1036,1036,1036,1036,1036,1036,1036,25,25,25,26,25,25,25,25,31,31,31,31,31,31,31,31,2,3,3,3,2,2,3,2,3,5,5,5,3,3,5,3,24.6526666666667,24.5313333333333,24.41,24.2886666666667,24.8953333333333,25.0166666666667,25.138,25.2593333333333,17,17,17,17,17,17,17,17,1029.57666666667,1029.58,1029.58333333333,1029.58666666667,1029.57,1029.56666666667,1029.56333333333,1029.56,4.76666666666667,4.8,4.83333333333333,4.86666666666667,4.7,4.66666666666667,4.63333333333333,4.6,"low","low","low","low","low","low","low","low",0,0,0,-0.5,0,0,1,0,-11,-35,-54,-77,-14,-11,-17,-22,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,1,0,0,-2,-2,-2,0,0,2,0,0.121333333333332,0.242666666666668,0.364000000000001,0.485333333333333,0.121333333333332,0.242666666666665,0.364000000000001,0.485333333333333,0,0,0,0,0,0,0,0,-0.0033333333333303,-0.0066666666666606,-0.00999999999999091,-0.0133333333333212,-0.0033333333333303,-0.0066666666666606,-0.00999999999999091,-0.0133333333333212,-0.0333333333333332,-0.0666666666666664,-0.0999999999999996,-0.133333333333333,-0.0333333333333332,-0.0666666666666664,-0.0999999999999996,-0.133333333333334,-25,-22,-28,-33,0
2022-03-22 16:18:00,"Tuesday","weekday","working",11,"",1101,1036,25,31,2,3,24.8953333333333,17,1029.57,4.7,10,-187,24,"occupied","4-and-higher","10-to-19","6-and-higher",-8,-6.10466666666667,-6.43000000000006,2022-03-22 16:30:00,"16:30","low",0,11,11,11,11,11,12,11,11,"occupied","occupied","occupied","occupied","occupied","occupied","occupied","occupied","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher",1115,1126,1150,1169,1104,1098,1093,1103,1036,1036,1036,1036,1036,1036,1036,1035,25,25,25,25,25,25,25,25,31,31,31,31,31,31,31,31,2,2,3,3,2,3,2,3,3,3,5,5,3,5,3,5,24.774,24.6526666666667,24.5313333333333,24.41,25.0166666666667,25.138,25.2593333333333,25.3106666666667,17,17,17,17,17,17,17,16.9666666666667,1029.57333333333,1029.57666666667,1029.58,1029.58333333333,1029.56666666667,1029.56333333333,1029.56,1029.55666666667,4.73333333333333,4.76666666666667,4.8,4.83333333333333,4.66666666666667,4.63333333333333,4.6,4.56666666666667,"low","low","low","low","low","low","low","low",0,0,0,0,0,1,0,0,-14,-25,-49,-68,3,-3,-8,2,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,1,0,1,0,0,-2,-2,0,2,0,2,0.121333333333332,0.242666666666665,0.364000000000001,0.485333333333333,0.121333333333332,0.242666666666668,0.364000000000001,0.415333333333333,0,0,0,0,0,0,0,-0.033333333333335,-0.0033333333333303,-0.0066666666666606,-0.00999999999999091,-0.0133333333333212,-0.0033333333333303,-0.0066666666666606,-0.00999999999999091,-0.0133333333333212,-0.0333333333333332,-0.0666666666666664,-0.0999999999999996,-0.133333333333333,-0.0333333333333332,-0.0666666666666664,-0.100000000000001,-0.133333333333334,-11,-17,-22,-12,0
2022-03-22 16:20:00,"Tuesday","weekday","working",11,"",1104,1036,25,31,2,3,25.0166666666667,17,1029.56666666667,4.66666666666667,10,-184,26,"occupied","4-and-higher","10-to-19","6-and-higher",-8,-5.98333333333333,-6.43333333333339,2022-03-22 16:30:00,"16:30","low",0,11,11,11,11,12,11,11,11,"occupied","occupied","occupied","occupied","occupied","occupied","occupied","occupied","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","4-and-higher","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","10-to-19","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher","6-and-higher",1101,1115,1126,1150,1098,1093,1103,1094,1036,1036,1036,1036,1036,1036,1035,1035,25,25,25,25,25,25,25,25,31,31,31,31,31,31,31,31,2,2,2,3,3,2,3,2,3,3,3,5,5,3,5,3,24.8953333333333,24.774,24.6526666666667,24.5313333333333,25.138,25.2593333333333,25.3106666666667,25.292,17,17,17,17,17,17,16.9666666666667,16.9,1029.57,1029.57333333333,1029.57666666667,1029.58,1029.56333333333,1029.56,1029.55666666667,1029.55333333333,4.7,4.73333333333333,4.76666666666667,4.8,4.63333333333333,4.6,4.56666666666667,4.53333333333333,"low","low","low","low","low","low","low","low",0,0,0,0,1,0,0,0,3,-11,-22,-46,-6,-11,-1,-10,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,0,0,0,0,-2,2,0,2,0,0.121333333333332,0.242666666666665,0.363999999999997,0.485333333333333,0.121333333333336,0.242666666666668,0.294,0.275333333333336,0,0,0,0,0,0,-0.033333333333335,-0.100000000000001,-0.0033333333333303,-0.0066666666666606,-0.00999999999999091,-0.0133333333333212,-0.0033333333333303,-0.0066666666666606,-0.00999999999999091,-0.0133333333333212,-0.0333333333333332,-0.0666666666666664,-0.0999999999999996,-0.133333333333333,-0.0333333333333332,-0.0666666666666673,-0.100000000000001,-0.133333333333334,-3,-8,2,-7,0
