"time","dayOfWeek","weekDay","workHour","people","occupancyNote","inCo2","inPressure","inTemp","inHumid","inPart2_5","inPart10","outHumid","outTemp","outPressure","windSpeed","peopleEvery30Min","dCo2since30Min","dMinSince30Min","people2Bin","people2EqualBin","people3Bin","people3EqualBin","diffTemp","diffHumid","diffPressure","halfHour","halfHour2","ventMode","ventMode2","people_lag1","people_lag2","people_lag3","people_lag4","people_lead1","people_lead2","people_lead3","people_lead4","people2Bin_lag1","people2Bin_lag2","people2Bin_lag3","people2Bin_lag4","people2Bin_lead1","people2Bin_lead2","people2Bin_lead3","people2Bin_lead4","people2EqualBin_lag1","people2EqualBin_lag2","people2EqualBin_lag3","people2EqualBin_lag4","people2EqualBin_lead1","people2EqualBin_lead2","people2EqualBin_lead3","people2EqualBin_lead4","people3Bin_lag1","people3Bin_lag2","people3Bin_lag3","people3Bin_lag4","people3Bin_lead1","people3Bin_lead2","people3Bin_lead3","people3Bin_lead4","people3EqualBin_lag1","people3EqualBin_lag2","people3EqualBin_lag3","people3EqualBin_lag4","people3EqualBin_lead1","people3EqualBin_lead2","people3EqualBin_lead3","people3EqualBin_lead4","inCo2_lag1","inCo2_lag2","inCo2_lag3","inCo2_lag4","inCo2_lead1","inCo2_lead2","inCo2_lead3","inCo2_lead4","inPressure_lag1","inPressure_lag2","inPressure_lag3","inPressure_lag4","inPressure_lead1","inPressure_lead2","inPressure_lead3","inPressure_lead4","inTemp_lag1","inTemp_lag2","inTemp_lag3","inTemp_lag4","inTemp_lead1","inTemp_lead2","inTemp_lead3","inTemp_lead4","inHumid_lag1","inHumid_lag2","inHumid_lag3","inHumid_lag4","inHumid_lead1","inHumid_lead2","inHumid_lead3","inHumid_lead4","inPart2_5_lag1","inPart2_5_lag2","inPart2_5_lag3","inPart2_5_lag4","inPart2_5_lead1","inPart2_5_lead2","inPart2_5_lead3","inPart2_5_lead4","inPart10_lag1","inPart10_lag2","inPart10_lag3","inPart10_lag4","inPart10_lead1","inPart10_lead2","inPart10_lead3","inPart10_lead4","outHumid_lag1","outHumid_lag2","outHumid_lag3","outHumid_lag4","outHumid_lead1","outHumid_lead2","outHumid_lead3","outHumid_lead4","outTemp_lag1","outTemp_lag2","outTemp_lag3","outTemp_lag4","outTemp_lead1","outTemp_lead2","outTemp_lead3","outTemp_lead4","outPressure_lag1","outPressure_lag2","outPressure_lag3","outPressure_lag4","outPressure_lead1","outPressure_lead2","outPressure_lead3","outPressure_lead4","windSpeed_lag1","windSpeed_lag2","windSpeed_lag3","windSpeed_lag4","windSpeed_lead1","windSpeed_lead2","windSpeed_lead3","windSpeed_lead4","ventMode_lag1","ventMode_lag2","ventMode_lag3","ventMode_lag4","ventMode_lead1","ventMode_lead2","ventMode_lead3","ventMode_lead4","people_dlag1","people_dlag2","people_dlag3","people_dlag4","people_dlead1","people_dlead2","people_dlead3","people_dlead4","inCo2_dlag1","inCo2_dlag2","inCo2_dlag3","inCo2_dlag4","inCo2_dlead1","inCo2_dlead2","inCo2_dlead3","inCo2_dlead4","inPressure_dlag1","inPressure_dlag2","inPressure_dlag3","inPressure_dlag4","inPressure_dlead1","inPressure_dlead2","inPressure_dlead3","inPressure_dlead4","inTemp_dlag1","inTemp_dlag2","inTemp_dlag3","inTemp_dlag4","inTemp_dlead1","inTemp_dlead2","inTemp_dlead3","inTemp_dlead4","inHumid_dlag1","inHumid_dlag2","inHumid_dlag3","inHumid_dlag4","inHumid_dlead1","inHumid_dlead2","inHumid_dlead3","inHumid_dlead4","inPart2_5_dlag1","inPart2_5_dlag2","inPart2_5_dlag3","inPart2_5_dlag4","inPart2_5_dlead1","inPart2_5_dlead2","inPart2_5_dlead3","inPart2_5_dlead4","inPart10_dlag1","inPart10_dlag2","inPart10_dlag3","inPart10_dlag4","inPart10_dlead1","inPart10_dlead2","inPart10_dlead3","inPart10_dlead4","outHumid_dlag1","outHumid_dlag2","outHumid_dlag3","outHumid_dlag4","outHumid_dlead1","outHumid_dlead2","outHumid_dlead3","outHumid_dlead4","outTemp_dlag1","outTemp_dlag2","outTemp_dlag3","outTemp_dlag4","outTemp_dlead1","outTemp_dlead2","outTemp_dlead3","outTemp_dlead4","outPressure_dlag1","outPressure_dlag2","outPressure_dlag3","outPressure_dlag4","outPressure_dlead1","outPressure_dlead2","outPressure_dlead3","outPressure_dlead4","windSpeed_dlag1","windSpeed_dlag2","windSpeed_dlag3","windSpeed_dlag4","windSpeed_dlead1","windSpeed_dlead2","windSpeed_dlead3","windSpeed_dlead4","inCo2_dlead1lag1","inCo2_dlead2lag1","inCo2_dlead3lag1","inCo2_dlead4lag1","ventCo2dlag1Interaction"
2022-03-26 09:14:00,"Saturday","weekend","working",0,"",431,1038,23,26,7,12,53.346,12.6333333333333,1032.33,3,0,5,12,"empty","0-to-3","0-to-9","0-to-1",-10.3666666666667,27.346,-5.66999999999985,2022-03-26 09:30:00,"09:30","low",0,0,0,0,0,0,0,0,0,"empty","empty","empty","empty","empty","empty","empty","empty","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1",430,428,431,430,434,431,427,421,1038,1038,1038,1038,1038,1038,1038,1038,22,22,22,22,23,23,23,23,26,27,27,27,26,26,26,26,9,7,7,7,7,7,7,6,15,12,12,12,12,12,12,10,53.838,54.33,54.822,55.314,52.854,52.362,51.87,51.378,12.5666666666667,12.5,12.4333333333333,12.3666666666667,12.7,12.7666666666667,12.8333333333333,12.9,1032.34,1032.35,1032.36,1032.37,1032.32,1032.31,1032.3,1032.29,3,3,3,3,3,3,3,3,"low","low","low","low","low","low","low","low",0,0,0,0,0,0,0,0,1,3,0,1,3,0,-4,-10,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,-1,-1,-1,0,0,0,0,-2,0,0,0,0,0,0,-1,-3,0,0,0,0,0,0,-2,-0.491999999999997,-0.983999999999995,-1.476,-1.968,-0.492000000000004,-0.984000000000002,-1.476,-1.968,0.0666666666666664,0.133333333333333,0.199999999999999,0.266666666666666,0.0666666666666664,0.133333333333335,0.200000000000001,0.266666666666667,-0.00999999999999091,-0.0199999999999818,-0.0299999999999727,-0.0399999999999636,-0.0100000000002183,-0.0200000000002092,-0.0300000000002001,-0.040000000000191,0,0,0,0,0,0,0,0,4,1,-3,-9,0
2022-03-26 09:16:00,"Saturday","weekend","working",0,"",434,1038,23,26,7,12,52.854,12.7,1032.32,3,0,8,14,"empty","0-to-3","0-to-9","0-to-1",-10.3,26.854,-5.68000000000006,2022-03-26 09:30:00,"09:30","low",0,0,0,0,0,0,0,0,0,"empty","empty","empty","empty","empty","empty","empty","empty","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1",431,430,428,431,431,427,421,412,1038,1038,1038,1038,1038,1038,1038,1038,23,22,22,22,23,23,23,23,26,26,27,27,26,26,26,26,7,9,7,7,7,7,6,7,12,15,12,12,12,12,10,12,53.346,53.838,54.33,54.822,52.362,51.87,51.378,50.886,12.6333333333333,12.5666666666667,12.5,12.4333333333333,12.7666666666667,12.8333333333333,12.9,12.9666666666667,1032.33,1032.34,1032.35,1032.36,1032.31,1032.3,1032.29,1032.28,3,3,3,3,3,3,3,3,"low","low","low","low","low","low","low","low",0,0,0,0,0,0,0,0,3,4,6,3,-3,-7,-13,-22,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-2,0,0,0,0,-1,0,0,-3,0,0,0,0,-2,0,-0.492000000000004,-0.984000000000002,-1.476,-1.968,-0.491999999999997,-0.983999999999995,-1.476,-1.968,0.0666666666666664,0.133333333333333,0.199999999999999,0.266666666666666,0.0666666666666682,0.133333333333335,0.200000000000001,0.266666666666667,-0.0100000000002183,-0.0200000000002092,-0.0300000000002001,-0.040000000000191,-0.00999999999999091,-0.0199999999999818,-0.0299999999999727,-0.0399999999999636,0,0,0,0,0,0,0,0,0,-4,-10,-19,0
2022-03-26 09:18:00,"Saturday","weekend","working",0,"",431,1038,23,26,7,12,52.362,12.7666666666667,1032.31,3,0,5,16,"empty","0-to-3","0-to-9","0-to-1",-10.2333333333333,26.362,-5.69000000000005,2022-03-26 09:30:00,"09:30","low",0,0,0,0,0,0,0,0,0,"empty","empty","empty","empty","empty","empty","empty","empty","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1",434,431,430,428,427,421,412,409,1038,1038,1038,1038,1038,1038,1038,1038,23,23,22,22,23,23,23,23,26,26,26,27,26,26,26,26,7,7,9,7,7,6,7,7,12,12,15,12,12,10,12,12,52.854,53.346,53.838,54.33,51.87,51.378,50.886,50.5333333333333,12.7,12.6333333333333,12.5666666666667,12.5,12.8333333333333,12.9,12.9666666666667,13.0333333333333,1032.32,1032.33,1032.34,1032.35,1032.3,1032.29,1032.28,1032.27,3,3,3,3,3,3,3,3,"low","low","low","low","low","low","low","low",0,0,0,0,0,0,0,0,-3,0,1,3,-4,-10,-19,-22,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-2,0,0,-1,0,0,0,0,-3,0,0,-2,0,0,-0.491999999999997,-0.984000000000002,-1.476,-1.968,-0.491999999999997,-0.984000000000002,-1.476,-1.82866666666667,0.0666666666666682,0.133333333333335,0.200000000000001,0.266666666666667,0.0666666666666664,0.133333333333333,0.199999999999999,0.266666666666666,-0.00999999999999091,-0.0200000000002092,-0.0300000000002001,-0.040000000000191,-0.00999999999999091,-0.0199999999999818,-0.0299999999999727,-0.0399999999999636,0,0,0,0,0,0,0,0,-7,-13,-22,-25,0
2022-03-26 09:20:00,"Saturday","weekend","working",0,"",427,1038,23,26,7,12,51.87,12.8333333333333,1032.3,3,0,1,18,"empty","0-to-3","0-to-9","0-to-1",-10.1666666666667,25.87,-5.70000000000005,2022-03-26 09:30:00,"09:30","low",0,0,0,0,0,0,0,0,0,"empty","empty","empty","empty","empty","empty","empty","empty","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1",431,434,431,430,421,412,409,409,1038,1038,1038,1038,1038,1038,1038,1038,23,23,23,22,23,23,23,23,26,26,26,26,26,26,26,26,7,7,7,9,6,7,7,7,12,12,12,15,10,12,12,12,52.362,52.854,53.346,53.838,51.378,50.886,50.5333333333333,50.32,12.7666666666667,12.7,12.6333333333333,12.5666666666667,12.9,12.9666666666667,13.0333333333333,13.1,1032.31,1032.32,1032.33,1032.34,1032.29,1032.28,1032.27,1032.26,3,3,3,3,3,3,3,3,"low","low","low","low","low","low","low","low",0,0,0,0,0,0,0,0,-4,-7,-4,-3,-6,-15,-18,-18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-1,0,0,0,0,0,0,-3,-2,0,0,0,-0.491999999999997,-0.983999999999995,-1.476,-1.968,-0.492000000000004,-0.984000000000002,-1.33666666666667,-1.55,0.0666666666666664,0.133333333333335,0.200000000000001,0.266666666666667,0.0666666666666664,0.133333333333333,0.199999999999999,0.266666666666666,-0.00999999999999091,-0.0199999999999818,-0.0300000000002001,-0.040000000000191,-0.00999999999999091,-0.0199999999999818,-0.0299999999999727,-0.0399999999999636,0,0,0,0,0,0,0,0,-10,-19,-22,-22,0
2022-03-26 09:22:00,"Saturday","weekend","working",0,"",421,1038,23,26,6,10,51.378,12.9,1032.29,3,0,-5,20,"empty","0-to-3","0-to-9","0-to-1",-10.1,25.378,-5.71000000000004,2022-03-26 09:30:00,"09:30","low",0,0,0,0,0,0,0,0,0,"empty","empty","empty","empty","empty","empty","empty","empty","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1",427,431,434,431,412,409,409,404,1038,1038,1038,1038,1038,1038,1038,1038,23,23,23,23,23,23,23,23,26,26,26,26,26,26,26,26,7,7,7,7,7,7,7,7,12,12,12,12,12,12,12,12,51.87,52.362,52.854,53.346,50.886,50.5333333333333,50.32,50.1066666666667,12.8333333333333,12.7666666666667,12.7,12.6333333333333,12.9666666666667,13.0333333333333,13.1,13.1666666666667,1032.3,1032.31,1032.32,1032.33,1032.28,1032.27,1032.26,1032.25,3,3,3,3,3,3,3,3,"low","low","low","low","low","low","low","low",0,0,0,0,0,0,0,0,-6,-10,-13,-10,-9,-12,-12,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,1,1,1,-2,-2,-2,-2,2,2,2,2,-0.492000000000004,-0.984000000000002,-1.476,-1.968,-0.491999999999997,-0.844666666666669,-1.058,-1.27133333333333,0.0666666666666664,0.133333333333333,0.200000000000001,0.266666666666667,0.0666666666666664,0.133333333333333,0.199999999999999,0.266666666666666,-0.00999999999999091,-0.0199999999999818,-0.0299999999999727,-0.040000000000191,-0.00999999999999091,-0.0199999999999818,-0.0299999999999727,-0.0399999999999636,0,0,0,0,0,0,0,0,-15,-18,-18,-23,0
2022-03-26 09:24:00,"Saturday","weekend","working",0,"",412,1038,23,26,7,12,50.886,12.9666666666667,1032.28,3,0,-14,22,"empty","0-to-3","0-to-9","0-to-1",-10.0333333333333,24.886,-5.72000000000003,2022-03-26 09:30:00,"09:30","low",0,0,0,0,0,0,0,0,0,"empty","empty","empty","empty","empty","empty","empty","empty","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1",421,427,431,434,409,409,404,405,1038,1038,1038,1038,1038,1038,1038,1038,23,23,23,23,23,23,23,23,26,26,26,26,26,26,26,26,6,7,7,7,7,7,7,9,10,12,12,12,12,12,12,15,51.378,51.87,52.362,52.854,50.5333333333333,50.32,50.1066666666667,49.8933333333333,12.9,12.8333333333333,12.7666666666667,12.7,13.0333333333333,13.1,13.1666666666667,13.2333333333333,1032.29,1032.3,1032.31,1032.32,1032.27,1032.26,1032.25,1032.24,3,3,3,3,3,3,3,3,"low","low","low","low","low","low","low","low",0,0,0,0,0,0,0,0,-9,-15,-19,-22,-3,-3,-8,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,3,-0.491999999999997,-0.984000000000002,-1.476,-1.968,-0.352666666666671,-0.566000000000003,-0.779333333333334,-0.992666666666672,0.0666666666666664,0.133333333333333,0.199999999999999,0.266666666666667,0.0666666666666664,0.133333333333333,0.199999999999999,0.266666666666666,-0.00999999999999091,-0.0199999999999818,-0.0299999999999727,-0.0399999999999636,-0.00999999999999091,-0.0199999999999818,-0.0299999999999727,-0.0399999999999636,0,0,0,0,0,0,0,0,-12,-12,-17,-16,0
2022-03-26 09:26:00,"Saturday","weekend","working",0,"",409,1038,23,26,7,12,50.5333333333333,13.0333333333333,1032.27,3,0,-17,24,"empty","0-to-3","0-to-9","0-to-1",-9.96666666666667,24.5333333333333,-5.73000000000002,2022-03-26 09:30:00,"09:30","low",0,0,0,0,0,0,0,0,0,"empty","empty","empty","empty","empty","empty","empty","empty","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1",412,421,427,431,409,404,405,410,1038,1038,1038,1038,1038,1038,1038,1038,23,23,23,23,23,23,23,22,26,26,26,26,26,26,26,26,7,6,7,7,7,7,9,7,12,10,12,12,12,12,15,12,50.886,51.378,51.87,52.362,50.32,50.1066666666667,49.8933333333333,49.68,12.9666666666667,12.9,12.8333333333333,12.7666666666667,13.1,13.1666666666667,13.2333333333333,13.3,1032.28,1032.29,1032.3,1032.31,1032.26,1032.25,1032.24,1032.23,3,3,3,3,3,3,3,3,"low","low","low","low","low","low","low","low",0,0,0,0,0,0,0,0,-3,-12,-18,-22,0,-5,-4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,3,0,-0.352666666666671,-0.844666666666669,-1.33666666666667,-1.82866666666667,-0.213333333333331,-0.426666666666662,-0.640000000000001,-0.853333333333332,0.0666666666666664,0.133333333333333,0.199999999999999,0.266666666666666,0.0666666666666664,0.133333333333333,0.199999999999999,0.266666666666667,-0.00999999999999091,-0.0199999999999818,-0.0299999999999727,-0.0399999999999636,-0.00999999999999091,-0.0199999999999818,-0.0299999999999727,-0.0399999999999636,0,0,0,0,0,0,0,0,-3,-8,-7,-2,0
2022-03-26 09:28:00,"Saturday","weekend","working",0,"",409,1038,23,26,7,12,50.32,13.1,1032.26,3,0,-17,26,"empty","0-to-3","0-to-9","0-to-1",-9.9,24.32,-5.74000000000001,2022-03-26 09:30:00,"09:30","low",0,0,0,0,0,0,0,0,0,"empty","empty","empty","empty","empty","empty","empty","empty","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1",409,412,421,427,404,405,410,414,1038,1038,1038,1038,1038,1038,1038,1038,23,23,23,23,23,23,22,22,26,26,26,26,26,26,26,26,7,7,6,7,7,9,7,7,12,12,10,12,12,15,12,12,50.5333333333333,50.886,51.378,51.87,50.1066666666667,49.8933333333333,49.68,49.4666666666667,13.0333333333333,12.9666666666667,12.9,12.8333333333333,13.1666666666667,13.2333333333333,13.3,13.3666666666667,1032.27,1032.28,1032.29,1032.3,1032.25,1032.24,1032.23,1032.22,3,3,3,3,3,3,3,3,"low","low","low","low","low","low","low","low",0,0,0,0,0,0,0,0,0,-3,-12,-18,-5,-4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,3,0,0,-0.213333333333331,-0.566000000000003,-1.058,-1.55,-0.213333333333331,-0.426666666666669,-0.640000000000001,-0.853333333333332,0.0666666666666664,0.133333333333333,0.199999999999999,0.266666666666666,0.0666666666666664,0.133333333333333,0.200000000000001,0.266666666666667,-0.00999999999999091,-0.0199999999999818,-0.0299999999999727,-0.0399999999999636,-0.00999999999999091,-0.0199999999999818,-0.0299999999999727,-0.0399999999999636,0,0,0,0,0,0,0,0,-5,-4,1,5,0
2022-03-26 09:30:00,"Saturday","weekend","working",0,"",404,1038,23,26,7,12,50.1066666666667,13.1666666666667,1032.25,3,0,-22,28,"empty","0-to-3","0-to-9","0-to-1",-9.83333333333333,24.1066666666667,-5.75,2022-03-26 09:30:00,"09:30","low",0,0,0,0,0,0,0,0,0,"empty","empty","empty","empty","empty","empty","empty","empty","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1",409,409,412,421,405,410,414,414,1038,1038,1038,1038,1038,1038,1038,1038,23,23,23,23,23,22,22,22,26,26,26,26,26,26,26,27,7,7,7,6,9,7,7,7,12,12,12,10,15,12,12,12,50.32,50.5333333333333,50.886,51.378,49.8933333333333,49.68,49.4666666666667,49.2533333333333,13.1,13.0333333333333,12.9666666666667,12.9,13.2333333333333,13.3,13.3666666666667,13.4333333333333,1032.26,1032.27,1032.28,1032.29,1032.24,1032.23,1032.22,1032.21,3,3,3,3,3,3,3,3,"low","low","low","low","low","low","low","low",0,0,0,0,0,0,0,0,-5,-5,-8,-17,1,6,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,2,3,0,0,0,-0.213333333333331,-0.426666666666662,-0.779333333333334,-1.27133333333333,-0.213333333333338,-0.426666666666669,-0.640000000000001,-0.853333333333339,0.0666666666666664,0.133333333333333,0.199999999999999,0.266666666666666,0.0666666666666664,0.133333333333335,0.200000000000001,0.266666666666667,-0.00999999999999091,-0.0199999999999818,-0.0299999999999727,-0.0399999999999636,-0.00999999999999091,-0.0199999999999818,-0.0299999999999727,-0.0399999999999636,0,0,0,0,0,0,0,0,-4,1,5,5,0
2022-03-26 09:32:00,"Saturday","weekend","working",0,"",405,1038,23,26,9,15,49.8933333333333,13.2333333333333,1032.24,3,0,0,0,"empty","0-to-3","0-to-9","0-to-1",-9.76666666666667,23.8933333333333,-5.75999999999999,2022-03-26 09:30:00,"09:30","low",0,0,0,0,0,0,0,0,0,"empty","empty","empty","empty","empty","empty","empty","empty","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-3","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-9","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1","0-to-1",404,409,409,412,410,414,414,421,1038,1038,1038,1038,1038,1038,1038,1038,23,23,23,23,22,22,22,22,26,26,26,26,26,26,27,27,7,7,7,7,7,7,7,7,12,12,12,12,12,12,12,12,50.1066666666667,50.32,50.5333333333333,50.886,49.68,49.4666666666667,49.2533333333333,49.04,13.1666666666667,13.1,13.0333333333333,12.9666666666667,13.3,13.3666666666667,13.4333333333333,13.5,1032.25,1032.26,1032.27,1032.28,1032.23,1032.22,1032.21,1032.2,3,3,3,3,3,3,3,3,"low","low","low","low","low","low","low","low",0,0,0,0,0,0,0,0,1,-4,-4,-7,5,9,9,16,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,1,1,2,2,2,2,-2,-2,-2,-2,3,3,3,3,-3,-3,-3,-3,-0.213333333333338,-0.426666666666669,-0.640000000000001,-0.992666666666672,-0.213333333333331,-0.426666666666662,-0.640000000000001,-0.853333333333332,0.0666666666666664,0.133333333333333,0.199999999999999,0.266666666666666,0.0666666666666682,0.133333333333335,0.200000000000001,0.266666666666667,-0.00999999999999091,-0.0199999999999818,-0.0299999999999727,-0.0399999999999636,-0.00999999999999091,-0.0199999999999818,-0.0299999999999727,-0.0399999999999636,0,0,0,0,0,0,0,0,6,10,10,17,0
