"time","dayOfWeek","weekDay","workHour","people","occupancyNote","inCo2","inPressure","inTemp","inHumid","inPart2_5","inPart10","outHumid","outTemp","outPressure","windSpeed","diffTemp","diffHumid","diffPressure","people_lag1","people_lag2","people_lag3","people_lag4","people_lag5","people_lag6","people_lag7","people_lag8","people_lag9","people_lag10","people_lead1","people_lead2","people_lead3","people_lead4","people_lead5","people_lead6","people_lead7","people_lead8","people_lead9","people_lead10","inCo2_lag1","inCo2_lag2","inCo2_lag3","inCo2_lag4","inCo2_lag5","inCo2_lag6","inCo2_lag7","inCo2_lag8","inCo2_lag9","inCo2_lag10","inCo2_lead1","inCo2_lead2","inCo2_lead3","inCo2_lead4","inCo2_lead5","inCo2_lead6","inCo2_lead7","inCo2_lead8","inCo2_lead9","inCo2_lead10","inPressure_lag1","inPressure_lag2","inPressure_lag3","inPressure_lag4","inPressure_lag5","inPressure_lag6","inPressure_lag7","inPressure_lag8","inPressure_lag9","inPressure_lag10","inPressure_lead1","inPressure_lead2","inPressure_lead3","inPressure_lead4","inPressure_lead5","inPressure_lead6","inPressure_lead7","inPressure_lead8","inPressure_lead9","inPressure_lead10","inTemp_lag1","inTemp_lag2","inTemp_lag3","inTemp_lag4","inTemp_lag5","inTemp_lag6","inTemp_lag7","inTemp_lag8","inTemp_lag9","inTemp_lag10","inTemp_lead1","inTemp_lead2","inTemp_lead3","inTemp_lead4","inTemp_lead5","inTemp_lead6","inTemp_lead7","inTemp_lead8","inTemp_lead9","inTemp_lead10","inHumid_lag1","inHumid_lag2","inHumid_lag3","inHumid_lag4","inHumid_lag5","inHumid_lag6","inHumid_lag7","inHumid_lag8","inHumid_lag9","inHumid_lag10","inHumid_lead1","inHumid_lead2","inHumid_lead3","inHumid_lead4","inHumid_lead5","inHumid_lead6","inHumid_lead7","inHumid_lead8","inHumid_lead9","inHumid_lead10","inPart2_5_lag1","inPart2_5_lag2","inPart2_5_lag3","inPart2_5_lag4","inPart2_5_lag5","inPart2_5_lag6","inPart2_5_lag7","inPart2_5_lag8","inPart2_5_lag9","inPart2_5_lag10","inPart2_5_lead1","inPart2_5_lead2","inPart2_5_lead3","inPart2_5_lead4","inPart2_5_lead5","inPart2_5_lead6","inPart2_5_lead7","inPart2_5_lead8","inPart2_5_lead9","inPart2_5_lead10","inPart10_lag1","inPart10_lag2","inPart10_lag3","inPart10_lag4","inPart10_lag5","inPart10_lag6","inPart10_lag7","inPart10_lag8","inPart10_lag9","inPart10_lag10","inPart10_lead1","inPart10_lead2","inPart10_lead3","inPart10_lead4","inPart10_lead5","inPart10_lead6","inPart10_lead7","inPart10_lead8","inPart10_lead9","inPart10_lead10"
2022-03-22 16:02:00,"Tuesday","weekday","working",11,"",1247,1036,26,32,3,5,23.9246666666667,17,1029.59666666667,4.96666666666667,-9,-8.07533333333333,-6.40333333333342,11,10,10,10,11,11,10,10,10,9,15,15,14,11,11,12,11,11,11,11,1254.5,1262,1265.5,1269,1273,1277,1282.5,1288,1287,1286,1237.5,1228,1220.5,1213,1202.5,1192,1180.5,1169,1159.5,1150,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,26,26,26,26,25.5,25,25,25,25,25,26,26,26,26,26,26,25.5,25,25,25,32,32,32,32,32,32,32,32,32,32,32,32,32,32,31.5,31,31,31,31,31,3,3,3,3,3,3,3,3,3,3,3,3,2.5,2,2.5,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,5,5,5,5,5
2022-03-22 16:03:00,"Tuesday","weekday","working",15,"",1237.5,1036,26,32,3,5,23.9853333333333,17,1029.595,4.95,-9,-8.01466666666667,-6.4050000000002,11,11,10,10,10,11,11,10,10,10,15,14,11,11,12,11,11,11,11,11,1247,1254.5,1262,1265.5,1269,1273,1277,1282.5,1288,1287,1228,1220.5,1213,1202.5,1192,1180.5,1169,1159.5,1150,1138,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,26,26,26,26,26,25.5,25,25,25,25,26,26,26,26,26,25.5,25,25,25,25,32,32,32,32,32,32,32,32,32,32,32,32,32,31.5,31,31,31,31,31,31,3,3,3,3,3,3,3,3,3,3,3,2.5,2,2.5,3,3,3,3,3,2.5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,5,5,5,5,5,4
2022-03-22 16:04:00,"Tuesday","weekday","working",15,"",1228,1036,26,32,3,5,24.046,17,1029.59333333333,4.93333333333333,-9,-7.954,-6.40666666666675,15,11,11,10,10,10,11,11,10,10,14,11,11,12,11,11,11,11,11,11,1237.5,1247,1254.5,1262,1265.5,1269,1273,1277,1282.5,1288,1220.5,1213,1202.5,1192,1180.5,1169,1159.5,1150,1138,1126,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,26,26,26,26,26,26,25.5,25,25,25,26,26,26,26,25.5,25,25,25,25,25,32,32,32,32,32,32,32,32,32,32,32,32,31.5,31,31,31,31,31,31,31,3,3,3,3,3,3,3,3,3,3,2.5,2,2.5,3,3,3,3,3,2.5,2,5,5,5,5,5,5,5,5,5,5,4,3,4,5,5,5,5,5,4,3
2022-03-22 16:05:00,"Tuesday","weekday","working",14,"",1220.5,1036,26,32,2.5,4,24.1066666666667,17,1029.59166666667,4.91666666666667,-9,-7.89333333333333,-6.4083333333333,15,15,11,11,10,10,10,11,11,10,11,11,12,11,11,11,11,11,11,11,1228,1237.5,1247,1254.5,1262,1265.5,1269,1273,1277,1282.5,1213,1202.5,1192,1180.5,1169,1159.5,1150,1138,1126,1120.5,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,26,26,26,26,26,26,26,25.5,25,25,26,26,26,25.5,25,25,25,25,25,25,32,32,32,32,32,32,32,32,32,32,32,31.5,31,31,31,31,31,31,31,31,3,3,3,3,3,3,3,3,3,3,2,2.5,3,3,3,3,3,2.5,2,2,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5,4,3,3
2022-03-22 16:06:00,"Tuesday","weekday","working",11,"",1213,1036,26,32,2,3,24.1673333333333,17,1029.59,4.9,-9,-7.83266666666667,-6.41000000000008,14,15,15,11,11,10,10,10,11,11,11,12,11,11,11,11,11,11,11,11,1220.5,1228,1237.5,1247,1254.5,1262,1265.5,1269,1273,1277,1202.5,1192,1180.5,1169,1159.5,1150,1138,1126,1120.5,1115,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,26,26,26,26,26,26,26,26,25.5,25,26,26,25.5,25,25,25,25,25,25,25,32,32,32,32,32,32,32,32,32,32,31.5,31,31,31,31,31,31,31,31,31,2.5,3,3,3,3,3,3,3,3,3,2.5,3,3,3,3,3,2.5,2,2,2,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,3,3,3
2022-03-22 16:07:00,"Tuesday","weekday","working",11,"",1202.5,1036,26,31.5,2.5,4,24.228,17,1029.58833333333,4.88333333333333,-9,-7.272,-6.41166666666686,11,14,15,15,11,11,10,10,10,11,12,11,11,11,11,11,11,11,11,11,1213,1220.5,1228,1237.5,1247,1254.5,1262,1265.5,1269,1273,1192,1180.5,1169,1159.5,1150,1138,1126,1120.5,1115,1108,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,26,26,26,26,26,26,26,26,26,25.5,26,25.5,25,25,25,25,25,25,25,25,32,32,32,32,32,32,32,32,32,32,31,31,31,31,31,31,31,31,31,31,2,2.5,3,3,3,3,3,3,3,3,3,3,3,3,3,2.5,2,2,2,2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3
2022-03-22 16:08:00,"Tuesday","weekday","working",12,"",1192,1036,26,31,3,5,24.2886666666667,17,1029.58666666667,4.86666666666667,-9,-6.71133333333333,-6.41333333333341,11,11,14,15,15,11,11,10,10,10,11,11,11,11,11,11,11,11,11,11,1202.5,1213,1220.5,1228,1237.5,1247,1254.5,1262,1265.5,1269,1180.5,1169,1159.5,1150,1138,1126,1120.5,1115,1108,1101,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,26,26,26,26,26,26,26,26,26,26,25.5,25,25,25,25,25,25,25,25,25,31.5,32,32,32,32,32,32,32,32,32,31,31,31,31,31,31,31,31,31,31,2.5,2,2.5,3,3,3,3,3,3,3,3,3,3,3,2.5,2,2,2,2,2,4,3,4,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,3
2022-03-22 16:09:00,"Tuesday","weekday","working",11,"",1180.5,1036,25.5,31,3,5,24.3493333333333,17,1029.585,4.85,-8.5,-6.65066666666667,-6.41499999999996,12,11,11,14,15,15,11,11,10,10,11,11,11,11,11,11,11,11,11,11,1192,1202.5,1213,1220.5,1228,1237.5,1247,1254.5,1262,1265.5,1169,1159.5,1150,1138,1126,1120.5,1115,1108,1101,1102.5,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,31,31.5,32,32,32,32,32,32,32,32,31,31,31,31,31,31,31,31,31,31,3,2.5,2,2.5,3,3,3,3,3,3,3,3,3,2.5,2,2,2,2,2,2,5,4,3,4,5,5,5,5,5,5,5,5,5,4,3,3,3,3,3,3
2022-03-22 16:10:00,"Tuesday","weekday","working",11,"",1169,1036,25,31,3,5,24.41,17,1029.58333333333,4.83333333333333,-8,-6.59,-6.41666666666674,11,12,11,11,14,15,15,11,11,10,11,11,11,11,11,11,11,11,11,11,1180.5,1192,1202.5,1213,1220.5,1228,1237.5,1247,1254.5,1262,1159.5,1150,1138,1126,1120.5,1115,1108,1101,1102.5,1104,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,25.5,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,31,31,31.5,32,32,32,32,32,32,32,31,31,31,31,31,31,31,31,31,31,3,3,2.5,2,2.5,3,3,3,3,3,3,3,2.5,2,2,2,2,2,2,2,5,5,4,3,4,5,5,5,5,5,5,5,4,3,3,3,3,3,3,3
2022-03-22 16:11:00,"Tuesday","weekday","working",11,"",1159.5,1036,25,31,3,5,24.4706666666667,17,1029.58166666667,4.81666666666667,-8,-6.52933333333333,-6.41833333333352,11,11,12,11,11,14,15,15,11,11,11,11,11,11,11,11,11,11,11,12,1169,1180.5,1192,1202.5,1213,1220.5,1228,1237.5,1247,1254.5,1150,1138,1126,1120.5,1115,1108,1101,1102.5,1104,1101,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,25,25.5,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,31,31,31,31.5,32,32,32,32,32,32,31,31,31,31,31,31,31,31,31,31,3,3,3,2.5,2,2.5,3,3,3,3,3,2.5,2,2,2,2,2,2,2,2.5,5,5,5,4,3,4,5,5,5,5,5,4,3,3,3,3,3,3,3,4
