Time,Datastream Name,Value
2022-03-26 23:58:00,CO2,430.0
2022-03-26 23:58:00,PRESSURE,1038.0
2022-03-26 23:58:00,Temperature,21.0
2022-03-26 23:58:00,Relative Humidity,29.0
2022-03-26 23:58:00,Fine Particles 2_5,5.0
2022-03-26 23:58:00,Fine Particles 10,9.0
2022-03-26 23:58:00,ABC Status,1.0
2022-03-26 23:56:00,CO2,426.0
2022-03-26 23:56:00,PRESSURE,1038.0
2022-03-26 23:56:00,Temperature,21.0
2022-03-26 23:56:00,Relative Humidity,29.0
2022-03-26 23:56:00,Fine Particles 2_5,5.0
2022-03-26 23:56:00,Fine Particles 10,9.0
2022-03-26 23:56:00,ABC Status,1.0
2022-03-26 23:54:00,CO2,421.0
2022-03-26 23:54:00,PRESSURE,1038.0
2022-03-26 23:54:00,Temperature,21.0
2022-03-26 23:54:00,Relative Humidity,29.0
2022-03-26 23:54:00,Fine Particles 2_5,5.0
2022-03-26 23:54:00,Fine Particles 10,9.0
2022-03-26 23:54:00,ABC Status,1.0
2022-03-26 23:52:00,CO2,413.0
2022-03-26 23:52:00,PRESSURE,1038.0
2022-03-26 23:52:00,Temperature,21.0
2022-03-26 23:52:00,Relative Humidity,29.0
2022-03-26 23:52:00,Fine Particles 2_5,5.0
2022-03-26 23:52:00,Fine Particles 10,9.0
2022-03-26 23:52:00,ABC Status,1.0
2022-03-26 23:50:00,CO2,415.0
2022-03-26 23:50:00,PRESSURE,1038.0
2022-03-26 23:50:00,Temperature,21.0
2022-03-26 23:50:00,Relative Humidity,29.0
2022-03-26 23:50:00,Fine Particles 2_5,5.0
2022-03-26 23:50:00,Fine Particles 10,9.0
2022-03-26 23:50:00,ABC Status,1.0
2022-03-26 23:48:00,CO2,413.0
2022-03-26 23:48:00,PRESSURE,1038.0
2022-03-26 23:48:00,Temperature,21.0
2022-03-26 23:48:00,Relative Humidity,29.0
2022-03-26 23:48:00,Fine Particles 2_5,5.0
2022-03-26 23:48:00,Fine Particles 10,9.0
2022-03-26 23:48:00,ABC Status,1.0
2022-03-26 23:46:00,CO2,414.0
2022-03-26 23:46:00,PRESSURE,1038.0
2022-03-26 23:46:00,Temperature,21.0
2022-03-26 23:46:00,Relative Humidity,29.0
2022-03-26 23:46:00,Fine Particles 2_5,5.0
2022-03-26 23:46:00,Fine Particles 10,9.0
2022-03-26 23:46:00,ABC Status,1.0
2022-03-26 23:44:00,CO2,414.0
2022-03-26 23:44:00,PRESSURE,1038.0
2022-03-26 23:44:00,Temperature,21.0
2022-03-26 23:44:00,Relative Humidity,29.0
2022-03-26 23:44:00,Fine Particles 2_5,5.0
2022-03-26 23:44:00,Fine Particles 10,8.0
2022-03-26 23:44:00,ABC Status,1.0
2022-03-26 23:42:00,CO2,414.0
2022-03-26 23:42:00,PRESSURE,1038.0
2022-03-26 23:42:00,Temperature,21.0
2022-03-26 23:42:00,Relative Humidity,29.0
2022-03-26 23:42:00,Fine Particles 2_5,6.0
2022-03-26 23:42:00,Fine Particles 10,10.0
2022-03-26 23:42:00,ABC Status,1.0
2022-03-26 23:40:00,CO2,417.0
2022-03-26 23:40:00,PRESSURE,1038.0
2022-03-26 23:40:00,Temperature,21.0
2022-03-26 23:40:00,Relative Humidity,29.0
2022-03-26 23:40:00,Fine Particles 2_5,5.0
2022-03-26 23:40:00,Fine Particles 10,9.0
2022-03-26 23:40:00,ABC Status,1.0
2022-03-26 23:38:00,CO2,418.0
2022-03-26 23:38:00,PRESSURE,1038.0
2022-03-26 23:38:00,Temperature,21.0
2022-03-26 23:38:00,Relative Humidity,29.0
2022-03-26 23:38:00,Fine Particles 2_5,5.0
2022-03-26 23:38:00,Fine Particles 10,9.0
2022-03-26 23:38:00,ABC Status,1.0
2022-03-26 23:36:00,CO2,421.0
2022-03-26 23:36:00,PRESSURE,1038.0
2022-03-26 23:36:00,Temperature,21.0
