Time,Datastream Name,Value
2022-03-22 06:00:00,CO2,511.0
2022-03-22 06:00:00,PRESSURE,1038.0
2022-03-22 06:00:00,Temperature,18.0
2022-03-22 06:00:00,Relative Humidity,35.0
2022-03-22 06:00:00,Fine Particles 2_5,14.0
2022-03-22 06:00:00,Fine Particles 10,24.0
2022-03-22 06:00:00,ABC Status,1.0
2022-03-22 05:58:00,CO2,506.0
2022-03-22 05:58:00,PRESSURE,1038.0
2022-03-22 05:58:00,Temperature,18.0
2022-03-22 05:58:00,Relative Humidity,35.0
2022-03-22 05:58:00,Fine Particles 2_5,14.0
2022-03-22 05:58:00,Fine Particles 10,24.0
2022-03-22 05:58:00,ABC Status,1.0
2022-03-22 05:56:00,CO2,504.0
2022-03-22 05:56:00,PRESSURE,1038.0
2022-03-22 05:56:00,Temperature,18.0
2022-03-22 05:56:00,Relative Humidity,36.0
2022-03-22 05:56:00,Fine Particles 2_5,14.0
2022-03-22 05:56:00,Fine Particles 10,24.0
2022-03-22 05:56:00,ABC Status,1.0
2022-03-22 05:54:00,CO2,500.0
2022-03-22 05:54:00,PRESSURE,1038.0
2022-03-22 05:54:00,Temperature,18.0
2022-03-22 05:54:00,Relative Humidity,36.0
2022-03-22 05:54:00,Fine Particles 2_5,15.0
2022-03-22 05:54:00,Fine Particles 10,26.0
2022-03-22 05:54:00,ABC Status,1.0
2022-03-22 05:52:00,CO2,497.0
2022-03-22 05:52:00,PRESSURE,1038.0
2022-03-22 05:52:00,Temperature,18.0
2022-03-22 05:52:00,Relative Humidity,36.0
2022-03-22 05:52:00,Fine Particles 2_5,15.0
2022-03-22 05:52:00,Fine Particles 10,26.0
2022-03-22 05:52:00,ABC Status,1.0
2022-03-22 05:50:00,CO2,497.0
2022-03-22 05:50:00,PRESSURE,1038.0
2022-03-22 05:50:00,Temperature,18.0
2022-03-22 05:50:00,Relative Humidity,36.0
2022-03-22 05:50:00,Fine Particles 2_5,15.0
2022-03-22 05:50:00,Fine Particles 10,26.0
2022-03-22 05:50:00,ABC Status,1.0
2022-03-22 05:48:00,CO2,496.0
2022-03-22 05:48:00,PRESSURE,1038.0
2022-03-22 05:48:00,Temperature,18.0
2022-03-22 05:48:00,Relative Humidity,36.0
2022-03-22 05:48:00,Fine Particles 2_5,17.0
2022-03-22 05:48:00,Fine Particles 10,29.0
2022-03-22 05:48:00,ABC Status,1.0
2022-03-22 05:46:00,CO2,500.0
2022-03-22 05:46:00,PRESSURE,1038.0
2022-03-22 05:46:00,Temperature,18.0
2022-03-22 05:46:00,Relative Humidity,36.0
2022-03-22 05:46:00,Fine Particles 2_5,15.0
2022-03-22 05:46:00,Fine Particles 10,26.0
2022-03-22 05:46:00,ABC Status,1.0
2022-03-22 05:44:00,CO2,494.0
2022-03-22 05:44:00,PRESSURE,1038.0
2022-03-22 05:44:00,Temperature,18.0
2022-03-22 05:44:00,Relative Humidity,36.0
2022-03-22 05:44:00,Fine Particles 2_5,15.0
2022-03-22 05:44:00,Fine Particles 10,26.0
2022-03-22 05:44:00,ABC Status,1.0
2022-03-22 05:42:00,CO2,495.0
2022-03-22 05:42:00,PRESSURE,1038.0
2022-03-22 05:42:00,Temperature,18.0
2022-03-22 05:42:00,Relative Humidity,36.0
2022-03-22 05:42:00,Fine Particles 2_5,17.0
2022-03-22 05:42:00,Fine Particles 10,29.0
2022-03-22 05:42:00,ABC Status,1.0
2022-03-22 05:40:00,CO2,498.0
2022-03-22 05:40:00,PRESSURE,1038.0
2022-03-22 05:40:00,Temperature,18.0
2022-03-22 05:40:00,Relative Humidity,36.0
2022-03-22 05:40:00,Fine Particles 2_5,15.0
2022-03-22 05:40:00,Fine Particles 10,26.0
2022-03-22 05:40:00,ABC Status,1.0
2022-03-22 05:38:00,CO2,500.0
2022-03-22 05:38:00,PRESSURE,1038.0
2022-03-22 05:38:00,Temperature,18.0
2022-03-22 05:38:00,Relative Humidity,36.0
2022-03-22 05:38:00,Fine Particles 2_5,15.0
2022-03-22 05:38:00,Fine Particles 10,26.0
2022-03-22 05:38:00,ABC Status,1.0
2022-03-22 05:36:00,CO2,499.0
2022-03-22 05:36:00,PRESSURE,1038.0
2022-03-22 05:36:00,Temperature,18.0
2022-03-22 05:36:00,Relative Humidity,36.0
2022-03-22 05:36:00,Fine Particles 2_5,15.0
2022-03-22 05:36:00,Fine Particles 10,26.0
2022-03-22 05:36:00,ABC Status,1.0
2022-03-22 05:34:00,CO2,497.0
2022-03-22 05:34:00,PRESSURE,1038.0
2022-03-22 05:34:00,Temperature,18.0
2022-03-22 05:34:00,Relative Humidity,36.0
2022-03-22 05:34:00,Fine Particles 2_5,17.0
2022-03-22 05:34:00,Fine Particles 10,29.0
2022-03-22 05:34:00,ABC Status,1.0
2022-03-22 05:32:00,CO2,496.0
2022-03-22 05:32:00,PRESSURE,1038.0
2022-03-22 05:32:00,Temperature,18.0
2022-03-22 05:32:00,Relative Humidity,36.0
2022-03-22 05:32:00,Fine Particles 2_5,15.0
2022-03-22 05:32:00,Fine Particles 10,26.0
2022-03-22 05:32:00,ABC Status,1.0
2022-03-22 05:30:00,CO2,491.0
2022-03-22 05:30:00,PRESSURE,1038.0
2022-03-22 05:30:00,Temperature,18.0
2022-03-22 05:30:00,Relative Humidity,36.0
2022-03-22 05:30:00,Fine Particles 2_5,18.0
2022-03-22 05:30:00,Fine Particles 10,31.0
2022-03-22 05:30:00,ABC Status,1.0
2022-03-22 05:28:00,CO2,494.0
2022-03-22 05:28:00,PRESSURE,1038.0
2022-03-22 05:28:00,Temperature,18.0
2022-03-22 05:28:00,Relative Humidity,36.0
2022-03-22 05:28:00,Fine Particles 2_5,18.0
2022-03-22 05:28:00,Fine Particles 10,31.0
2022-03-22 05:28:00,ABC Status,1.0
2022-03-22 05:26:00,CO2,494.0
2022-03-22 05:26:00,PRESSURE,1038.0
2022-03-22 05:26:00,Temperature,18.0
2022-03-22 05:26:00,Relative Humidity,36.0
2022-03-22 05:26:00,Fine Particles 2_5,17.0
2022-03-22 05:26:00,Fine Particles 10,29.0
2022-03-22 05:26:00,ABC Status,1.0
2022-03-22 05:24:00,CO2,490.0
2022-03-22 05:24:00,PRESSURE,1038.0
2022-03-22 05:24:00,Temperature,18.0
2022-03-22 05:24:00,Relative Humidity,36.0
2022-03-22 05:24:00,Fine Particles 2_5,15.0
2022-03-22 05:24:00,Fine Particles 10,26.0
2022-03-22 05:24:00,ABC Status,1.0
2022-03-22 05:22:00,CO2,489.0
2022-03-22 05:22:00,PRESSURE,1038.0
2022-03-22 05:22:00,Temperature,18.0
2022-03-22 05:22:00,Relative Humidity,36.0
2022-03-22 05:22:00,Fine Particles 2_5,15.0
2022-03-22 05:22:00,Fine Particles 10,26.0
2022-03-22 05:22:00,ABC Status,1.0
2022-03-22 05:20:00,CO2,485.0
2022-03-22 05:20:00,PRESSURE,1038.0
2022-03-22 05:20:00,Temperature,18.0
2022-03-22 05:20:00,Relative Humidity,36.0
2022-03-22 05:20:00,Fine Particles 2_5,17.0
2022-03-22 05:20:00,Fine Particles 10,29.0
2022-03-22 05:20:00,ABC Status,1.0
2022-03-22 05:18:00,CO2,485.0
2022-03-22 05:18:00,PRESSURE,1038.0
2022-03-22 05:18:00,Temperature,18.0
2022-03-22 05:18:00,Relative Humidity,36.0
2022-03-22 05:18:00,Fine Particles 2_5,17.0
2022-03-22 05:18:00,Fine Particles 10,29.0
2022-03-22 05:18:00,ABC Status,1.0
2022-03-22 05:16:00,CO2,480.0
2022-03-22 05:16:00,PRESSURE,1038.0
2022-03-22 05:16:00,Temperature,18.0
2022-03-22 05:16:00,Relative Humidity,36.0
2022-03-22 05:16:00,Fine Particles 2_5,17.0
2022-03-22 05:16:00,Fine Particles 10,29.0
2022-03-22 05:16:00,ABC Status,1.0
2022-03-22 05:14:00,CO2,480.0
2022-03-22 05:14:00,PRESSURE,1038.0
2022-03-22 05:14:00,Temperature,18.0
2022-03-22 05:14:00,Relative Humidity,36.0
2022-03-22 05:14:00,Fine Particles 2_5,17.0
2022-03-22 05:14:00,Fine Particles 10,29.0
2022-03-22 05:14:00,ABC Status,1.0
2022-03-22 05:12:00,CO2,476.0
2022-03-22 05:12:00,PRESSURE,1038.0
2022-03-22 05:12:00,Temperature,18.0
2022-03-22 05:12:00,Relative Humidity,36.0
2022-03-22 05:12:00,Fine Particles 2_5,15.0
2022-03-22 05:12:00,Fine Particles 10,26.0
2022-03-22 05:12:00,ABC Status,1.0
2022-03-22 05:10:00,CO2,476.0
2022-03-22 05:10:00,PRESSURE,1038.0
2022-03-22 05:10:00,Temperature,18.0
2022-03-22 05:10:00,Relative Humidity,36.0
2022-03-22 05:10:00,Fine Particles 2_5,15.0
2022-03-22 05:10:00,Fine Particles 10,26.0
2022-03-22 05:10:00,ABC Status,1.0
2022-03-22 05:08:00,CO2,480.0
2022-03-22 05:08:00,PRESSURE,1038.0
2022-03-22 05:08:00,Temperature,18.0
2022-03-22 05:08:00,Relative Humidity,36.0
2022-03-22 05:08:00,Fine Particles 2_5,15.0
2022-03-22 05:08:00,Fine Particles 10,26.0
2022-03-22 05:08:00,ABC Status,1.0
2022-03-22 05:06:00,CO2,482.0
2022-03-22 05:06:00,PRESSURE,1038.0
2022-03-22 05:06:00,Temperature,18.0
