time,number,note
2022-03-21 13:40:00,11,door open
2022-03-21 13:41:00,11,door open
2022-03-21 13:42:00,11,door open
2022-03-21 13:43:00,11,door open
2022-03-21 13:44:00,11,door open
2022-03-21 13:45:00,11,door open
2022-03-21 13:46:00,11,door open
2022-03-21 13:47:00,11,door open
2022-03-21 13:48:00,11,door open
2022-03-21 13:49:00,11,door open
2022-03-21 13:50:00,12,door open
2022-03-21 13:51:00,12,door open
2022-03-21 13:52:00,12,door open
2022-03-21 13:53:00,12,door open
2022-03-21 13:54:00,12,door open
2022-03-21 13:55:00,9,door open
2022-03-21 13:56:00,9,door open
2022-03-21 13:57:00,10,door open
2022-03-21 13:58:00,12,door open
2022-03-21 13:59:00,12,door open
2022-03-21 14:00:00,12,door open
2022-03-21 14:01:00,11,door open
2022-03-21 14:02:00,12,door open
2022-03-21 14:03:00,12,door open
2022-03-21 14:04:00,13,door open
2022-03-21 14:05:00,14,door open
2022-03-21 14:06:00,14,door open
2022-03-21 14:07:00,14,door open
2022-03-21 14:08:00,13,door open
2022-03-21 14:09:00,12,door open
2022-03-21 14:10:00,13,door open
2022-03-21 14:11:00,13,door open
2022-03-21 14:12:00,14,door open
2022-03-21 14:13:00,14,door open
2022-03-21 14:14:00,14,door open
2022-03-21 14:15:00,14,door open
2022-03-21 14:16:00,14,door open
2022-03-21 14:17:00,14,door open
2022-03-21 14:18:00,14,door open
2022-03-21 14:19:00,14,door open
2022-03-21 14:20:00,14,door open
2022-03-21 14:21:00,14,door open
2022-03-21 14:22:00,14,door open
2022-03-21 14:23:00,14,door open
2022-03-21 14:24:00,14,door open
2022-03-21 14:25:00,14,door open
2022-03-21 14:26:00,14,door open
2022-03-21 14:27:00,14,door open
2022-03-21 14:28:00,15,door open
2022-03-21 14:29:00,15,door open
2022-03-21 14:30:00,15,door open
2022-03-21 14:31:00,15,door open
2022-03-21 14:32:00,15,door open
2022-03-21 14:33:00,15,door open
2022-03-21 14:34:00,15,door open
2022-03-21 14:35:00,15,door open
2022-03-21 14:36:00,15,door open
2022-03-21 14:37:00,13,door open
2022-03-21 14:38:00,13,door open
2022-03-21 14:39:00,13,door open
2022-03-21 14:40:00,14,door open
2022-03-21 14:41:00,14,door open
2022-03-21 14:42:00,14,door open
2022-03-21 14:43:00,14,door open
2022-03-21 14:44:00,16,door open
2022-03-21 14:45:00,16,door open
2022-03-21 14:46:00,16,door open
2022-03-21 14:47:00,16,door open
2022-03-21 14:48:00,16,door open
2022-03-21 14:49:00,16,door open
2022-03-21 14:50:00,19,door open
2022-03-21 14:51:00,16,door open
2022-03-21 14:52:00,16,door open
2022-03-21 14:53:00,16,door open
2022-03-21 14:54:00,16,door open
2022-03-21 14:55:00,16,door open
2022-03-21 14:56:00,16,door open
2022-03-21 14:57:00,16,door open
2022-03-21 14:58:00,14,door open
2022-03-21 14:59:00,14,door open
2022-03-21 15:00:00,14,door open
2022-03-21 15:01:00,13,door open
2022-03-21 15:02:00,13,door open
2022-03-21 15:03:00,13,door open
2022-03-21 15:04:00,13,door open
2022-03-21 15:05:00,13,door open
2022-03-21 15:06:00,13,door open
2022-03-21 15:07:00,13,door open
2022-03-21 15:08:00,13,door open
2022-03-21 15:09:00,13,door open
2022-03-21 15:10:00,13,door open
2022-03-21 15:11:00,13,door open
2022-03-21 15:12:00,13,door open
2022-03-21 15:13:00,13,door open
2022-03-21 15:14:00,14,door open
2022-03-21 15:15:00,15,door open
2022-03-21 15:16:00,15,door open
2022-03-21 15:17:00,15,door open
2022-03-21 15:18:00,15,door open
2022-03-21 15:19:00,15,door open
2022-03-21 15:20:00,17,door open
2022-03-21 15:21:00,15,door open
2022-03-21 15:22:00,15,door open
2022-03-21 15:23:00,16,door open
2022-03-21 15:24:00,17,door open
2022-03-21 15:25:00,17,door open
2022-03-21 15:26:00,18,door open
2022-03-21 15:27:00,18,door open
2022-03-21 15:28:00,18,door open
2022-03-21 15:29:00,17,door open
2022-03-21 15:30:00,17,door open
2022-03-21 15:31:00,17,door open
2022-03-21 15:32:00,17,door open
2022-03-21 15:33:00,17,door open
2022-03-21 15:34:00,17,door open
2022-03-21 15:35:00,17,door open
2022-03-21 15:36:00,17,door open
2022-03-21 15:37:00,17,door open
2022-03-21 15:38:00,19,door open
2022-03-21 15:39:00,18,door open
2022-03-21 15:40:00,23,door open
2022-03-21 15:41:00,22,door open
2022-03-21 15:42:00,20,door open
2022-03-21 15:43:00,16,door open
2022-03-21 15:44:00,15,door open
2022-03-21 15:45:00,15,door open
2022-03-21 15:46:00,15,door open
2022-03-21 15:47:00,14,door open
2022-03-21 15:48:00,14,door open
2022-03-21 15:49:00,14,door open
2022-03-21 15:50:00,8,door open
2022-03-21 15:51:00,8,door open
