station,valid,tmpc
EHBK,2022-03-19 00:25,6.00
EHBK,2022-03-19 00:55,6.00
EHBK,2022-03-19 01:25,6.00
EHBK,2022-03-19 01:55,5.00
EHBK,2022-03-19 02:25,5.00
EHBK,2022-03-19 02:55,5.00
EHBK,2022-03-19 03:25,5.00
EHBK,2022-03-19 03:55,4.00
EHBK,2022-03-19 04:25,4.00
EHBK,2022-03-19 04:55,4.00
EHBK,2022-03-19 05:25,3.00
EHBK,2022-03-19 05:55,3.00
EHBK,2022-03-19 06:25,4.00
EHBK,2022-03-19 06:55,5.00
EHBK,2022-03-19 07:25,6.00
EHBK,2022-03-19 07:55,7.00
EHBK,2022-03-19 08:25,8.00
EHBK,2022-03-19 08:55,10.00
EHBK,2022-03-19 09:25,10.00
EHBK,2022-03-19 09:55,11.00
EHBK,2022-03-19 10:25,11.00
EHBK,2022-03-19 10:55,12.00
EHBK,2022-03-19 11:25,12.00
EHBK,2022-03-19 11:55,13.00
EHBK,2022-03-19 12:25,13.00
EHBK,2022-03-19 12:55,14.00
EHBK,2022-03-19 13:25,14.00
EHBK,2022-03-19 13:55,13.00
EHBK,2022-03-19 14:25,13.00
EHBK,2022-03-19 14:55,13.00
EHBK,2022-03-19 15:25,12.00
EHBK,2022-03-19 15:55,12.00
EHBK,2022-03-19 16:25,12.00
EHBK,2022-03-19 16:55,11.00
EHBK,2022-03-19 17:25,10.00
EHBK,2022-03-19 17:55,10.00
EHBK,2022-03-19 18:25,9.00
EHBK,2022-03-19 18:55,8.00
EHBK,2022-03-19 19:25,7.00
EHBK,2022-03-19 19:55,7.00
EHBK,2022-03-19 20:25,6.00
EHBK,2022-03-19 20:55,6.00
EHBK,2022-03-19 21:25,6.00
EHBK,2022-03-19 21:55,6.00
EHBK,2022-03-19 22:25,6.00
EHBK,2022-03-19 22:55,6.00
EHBK,2022-03-19 23:25,5.00
EHBK,2022-03-19 23:55,5.00
EHBK,2022-03-20 00:25,4.00
EHBK,2022-03-20 00:55,4.00
EHBK,2022-03-20 01:25,3.00
EHBK,2022-03-20 01:55,3.00
EHBK,2022-03-20 02:25,4.00
EHBK,2022-03-20 02:55,4.00
EHBK,2022-03-20 03:25,4.00
EHBK,2022-03-20 03:55,3.00
EHBK,2022-03-20 04:25,3.00
EHBK,2022-03-20 04:55,2.00
EHBK,2022-03-20 05:25,3.00
EHBK,2022-03-20 05:55,3.00
EHBK,2022-03-20 06:25,3.00
EHBK,2022-03-20 06:55,4.00
EHBK,2022-03-20 07:25,4.00
EHBK,2022-03-20 07:55,4.00
EHBK,2022-03-20 08:25,5.00
EHBK,2022-03-20 08:55,6.00
EHBK,2022-03-20 09:25,6.00
EHBK,2022-03-20 09:55,6.00
EHBK,2022-03-20 10:25,6.00
EHBK,2022-03-20 10:55,6.00
EHBK,2022-03-20 11:25,7.00
EHBK,2022-03-20 11:55,7.00
EHBK,2022-03-20 12:25,7.00
EHBK,2022-03-20 12:55,9.00
EHBK,2022-03-20 13:25,9.00
EHBK,2022-03-20 13:55,9.00
EHBK,2022-03-20 14:25,9.00
EHBK,2022-03-20 14:55,10.00
EHBK,2022-03-20 15:25,11.00
EHBK,2022-03-20 15:55,11.00
EHBK,2022-03-20 16:25,10.00
EHBK,2022-03-20 16:55,11.00
EHBK,2022-03-20 17:25,10.00
EHBK,2022-03-20 17:55,9.00
EHBK,2022-03-20 18:25,7.00
EHBK,2022-03-20 18:55,7.00
EHBK,2022-03-20 19:25,6.00
EHBK,2022-03-20 19:55,8.00
EHBK,2022-03-20 20:25,7.00
EHBK,2022-03-20 20:55,7.00
EHBK,2022-03-20 21:25,7.00
EHBK,2022-03-20 21:55,6.00
EHBK,2022-03-20 22:25,6.00
EHBK,2022-03-20 22:55,5.00
EHBK,2022-03-20 23:25,6.00
EHBK,2022-03-20 23:55,5.00
EHBK,2022-03-21 00:25,5.00
EHBK,2022-03-21 00:55,5.00
EHBK,2022-03-21 01:25,4.00
EHBK,2022-03-21 01:55,5.00
EHBK,2022-03-21 02:25,6.00
EHBK,2022-03-21 02:55,6.00
EHBK,2022-03-21 03:25,5.00
EHBK,2022-03-21 03:55,4.00
EHBK,2022-03-21 04:25,5.00
EHBK,2022-03-21 04:55,4.00
EHBK,2022-03-21 05:25,3.00
EHBK,2022-03-21 05:55,2.00
EHBK,2022-03-21 06:25,3.00
EHBK,2022-03-21 06:55,4.00
EHBK,2022-03-21 07:25,7.00
EHBK,2022-03-21 07:55,9.00
EHBK,2022-03-21 08:25,10.00
EHBK,2022-03-21 08:55,12.00
EHBK,2022-03-21 09:25,12.00
EHBK,2022-03-21 09:55,13.00
EHBK,2022-03-21 10:25,15.00
EHBK,2022-03-21 10:55,16.00
EHBK,2022-03-21 11:25,16.00
EHBK,2022-03-21 11:55,17.00
EHBK,2022-03-21 12:25,17.00
EHBK,2022-03-21 12:55,17.00
EHBK,2022-03-21 13:25,18.00
EHBK,2022-03-21 13:55,18.00
EHBK,2022-03-21 14:25,18.00
EHBK,2022-03-21 14:55,19.00
EHBK,2022-03-21 15:25,19.00
EHBK,2022-03-21 15:55,18.00
EHBK,2022-03-21 16:25,17.00
EHBK,2022-03-21 16:55,16.00
EHBK,2022-03-21 17:25,15.00
EHBK,2022-03-21 17:55,14.00
EHBK,2022-03-21 18:25,14.00
EHBK,2022-03-21 18:55,13.00
EHBK,2022-03-21 19:25,13.00
EHBK,2022-03-21 19:55,12.00
EHBK,2022-03-21 20:25,12.00
EHBK,2022-03-21 20:55,12.00
EHBK,2022-03-21 21:25,12.00
EHBK,2022-03-21 21:55,11.00
EHBK,2022-03-21 22:25,10.00
EHBK,2022-03-21 22:55,10.00
EHBK,2022-03-21 23:25,10.00
EHBK,2022-03-21 23:55,9.00
EHBK,2022-03-22 00:25,9.00
EHBK,2022-03-22 00:55,10.00
EHBK,2022-03-22 01:25,9.00
EHBK,2022-03-22 01:55,9.00
EHBK,2022-03-22 02:25,9.00
EHBK,2022-03-22 02:55,9.00
EHBK,2022-03-22 03:25,8.00
EHBK,2022-03-22 03:55,8.00
EHBK,2022-03-22 04:25,6.00
EHBK,2022-03-22 04:55,5.00
EHBK,2022-03-22 05:25,5.00
EHBK,2022-03-22 05:55,5.00
EHBK,2022-03-22 06:25,6.00
EHBK,2022-03-22 06:55,8.00
EHBK,2022-03-22 07:25,10.00
