 STN,YYYYMMDD,   HH,   DD,   FH,   FF,   FX,    T, T10N,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   WW,   IX,    M,    R,    S,    O,    Y

  380,20220319,    1,   70,   50,   50,   80,   64,     ,   18,    0,    0,    0,    0,10426,   75,    0,   72,     ,    5,    0,    0,    0,    0,    0
  380,20220319,    2,   60,   40,   50,   80,   54,     ,   14,    0,    0,    0,    0,10420,   75,    0,   75,     ,    5,    0,    0,    0,    0,    0
  380,20220319,    3,   60,   40,   40,   60,   48,     ,   13,    0,    0,    0,    0,10417,   75,    0,   78,     ,    5,    0,    0,    0,    0,    0
  380,20220319,    4,   60,   40,   40,   60,   41,     ,   12,    0,    0,    0,    0,10414,   70,    0,   81,     ,    5,    0,    0,    0,    0,    0
  380,20220319,    5,   50,   40,   40,   60,   34,     ,    8,    0,    0,    0,    0,10414,   70,    0,   82,     ,    5,    0,    0,    0,    0,    0
  380,20220319,    6,   60,   40,   50,   60,   32,   17,    9,    0,    1,    0,    0,10415,   67,    0,   84,     ,    5,    0,    0,    0,    0,    0
  380,20220319,    7,   60,   40,   40,   60,   51,     ,   20,    8,   31,    0,    0,10415,   74,    0,   80,     ,    5,    0,    0,    0,    0,    0
  380,20220319,    8,   60,   50,   50,   70,   73,     ,   27,   10,   86,    0,    0,10412,   75,    0,   72,     ,    5,    0,    0,    0,    0,    0
  380,20220319,    9,   80,   70,   80,  110,   95,     ,   18,   10,  145,    0,    0,10410,   74,    0,   58,     ,    5,    0,    0,    0,    0,    0
  380,20220319,   10,   70,   80,   80,  120,  108,     ,    6,   10,  193,    0,    0,10406,   80,    0,   49,     ,    5,    0,    0,    0,    0,    0
  380,20220319,   11,   70,   90,   80,  140,  120,     ,   11,   10,  220,    0,    0,10397,   81,    0,   47,     ,    5,    0,    0,    0,    0,    0
  380,20220319,   12,   80,   80,   80,  130,  130,   21,   -5,   10,  229,    0,    0,10387,   79,    0,   39,     ,    5,    0,    0,    0,    0,    0
  380,20220319,   13,   80,   80,   70,  130,  138,     ,  -26,   10,  227,    0,    0,10373,   81,    0,   32,     ,    5,    0,    0,    0,    0,    0
  380,20220319,   14,   40,   90,  100,  140,  134,     ,  -29,   10,  208,    0,    0,10360,   82,    0,   32,     ,    5,    0,    0,    0,    0,    0
  380,20220319,   15,   50,  100,   90,  140,  125,     ,  -50,   10,  169,    0,    0,10353,   82,    0,   29,     ,    5,    0,    0,    0,    0,    0
  380,20220319,   16,   50,   90,   90,  150,  119,     ,  -67,   10,  120,    0,    0,10348,   83,    0,   26,     ,    5,    0,    0,    0,    0,    0
  380,20220319,   17,   60,  100,  100,  150,  104,     ,  -46,   10,   60,    0,    0,10345,   82,    2,   34,     ,    5,    0,    0,    0,    0,    0
